	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	3,0	0,7802157227676497	3,0	0,9375722464849019	0,4185925585046061	-0,30083078	0,75	0	0
1	4,0	0,5296326242873131	5,0	0,45933572541357315	0,09891960546047629	-3,1907325	0,7916666666666666	0	0
2	2,0	0,006169714296257567	2,0	0,6998498641610754	0,08080549645214008	-3,4443765	0,75	0	0
3	5,0	0,726503585121661	3,0	0,03613287137591281	0,27991234279945365	0,57232034	0,33333333333333337	0	1
4	4,0	0,29689878164095085	4,0	0,36860154823940483	0,7355186465746115	0,5469676	0,75	1	1
5	2,0	0,08672374884620315	1,0	0,6889860740085817	0,03469802800640742	-2,634595	0,7083333333333333	0	0
6	5,0	0,21818816439742594	2,0	0,8425117452012658	0,2619692154158222	-0,26914483	0,625	0	0
7	2,0	0,9449904380715761	3,0	0,6758133484527694	0,3214615029599792	-1,0762479	0,7916666666666666	0	0
8	3,0	0,909145573546891	5,0	0,29261696445802055	0,5218707611340404	-0,9273203	0,8333333333333334	0	0
9	3,0	0,9221718018897951	4,0	0,6446206613590049	0,3314259586090521	-1,0824771	0,7916666666666666	0	0
10	6,0	0,42095811689022933	1,0	0,9577986357726636	0,4472307727826734	2,293274	0,9583333333333334	1	1
11	5,0	0,06132043444342328	5,0	0,2324743866600344	0,35142083777098265	-2,1772563	0,75	0	0
12	1,0	0,6632087673428979	5,0	0,6796394075759746	0,34650277695530507	-3,9747508	0,9166666666666666	0	0
13	2,0	0,7902013066833682	3,0	0,10979129762043927	0,22764529218271834	-1,6783657	0,7916666666666666	0	0
14	6,0	0,5667159547089684	1,0	0,009354369874914892	0,622814474994474	4,431199	0,9583333333333334	1	1
15	1,0	0,491959010300152	1,0	0,8981681949416681	0,4199985043627654	-0,60375947	0,75	0	0
16	5,0	0,31365766922072313	4,0	0,5456387648157346	0,5980693534449337	0,5968195	0,7916666666666666	1	1
17	5,0	0,6035086105457819	3,0	0,8552745621502419	0,28574349327591975	0,084932685	0,6666666666666667	0	0
18	6,0	0,8577726177750464	3,0	0,7538172605358642	0,366989167773177	1,9467278	0,875	1	1
19	2,0	0,5007368878803574	2,0	0,23036388149251452	0,1125252661329017	-1,9625993	0,75	0	0
20	1,0	0,11888420126909927	2,0	0,3129765474125189	0,39654727191355066	-2,5958166	0,7916666666666666	0	0
21	2,0	0,8481492962495778	6,0	0,9641194739665409	0,12819087080621294	-4,8813796	0,9166666666666666	0	0
22	1,0	0,7860927878826034	5,0	0,8820405967426217	0,21836608514915934	-3,8057246	0,9166666666666666	0	0
23	5,0	0,4559932161407486	5,0	0,9391537844062895	0,46675328938408556	-0,91411245	0,75	0	0
24	5,0	0,031093773229072363	1,0	0,08355867487508839	0,0011957150664065885	-0,50491935	0,5833333333333333	0	0
25	2,0	0,6874362908877301	2,0	0,6495849256894338	0,4820634990456095	0,103718266	0,75	0	0
26	1,0	0,9621992677572623	4,0	0,7049761815139901	0,6687294730363867	-0,817935	0,875	0	0
27	5,0	0,5147643668985328	5,0	0,17261851362910963	0,6014703594665831	0,120422095	0,25	1	0
28	2,0	0,2747664078204045	6,0	0,03101251414487627	0,9201585325980007	-1,0144157	0,41666666666666663	1	0
29	6,0	0,02630521270305808	6,0	0,567870464345002	0,7902080765459129	-0,26835734	0,25	1	0
30	3,0	0,22016260385335307	5,0	0,32115437512487266	0,567659773583008	-2,2318366	0,8333333333333334	0	0
31	6,0	0,42906326023463903	5,0	0,9438487520100894	0,19204114706407693	-1,6585586	0,7083333333333333	0	0
32	4,0	0,5436145128181925	3,0	0,11219714388733448	0,3499296123322019	-0,09170529	0,7083333333333333	0	0
33	1,0	0,07817360675115048	2,0	0,2901536498672812	0,24140728300601155	-3,0467138	0,7916666666666666	0	0
34	2,0	0,7975150752841137	4,0	0,15983005763346259	0,701636174226206	-0,10057385	0,33333333333333337	1	0
35	3,0	0,1679073483978737	4,0	0,3736709544834108	0,25210309583625845	-2,8514338	0,7916666666666666	0	0
36	5,0	0,7031340608106285	6,0	0,4774505254973742	0,9443364943763317	1,2733524	0,7083333333333333	1	1
37	6,0	0,9826867921445547	1,0	0,6877406486685694	0,4763803571268863	3,780367	0,9583333333333334	1	1
38	5,0	0,47167670556420116	2,0	0,5886714557728167	0,5158881052962567	2,0551457	0,875	1	1
39	1,0	0,6613884969817453	2,0	0,2099089519968469	0,38867025430237023	-1,0274003	0,7916666666666666	0	0
40	2,0	0,2769387121178941	5,0	0,04082593297062276	0,9031883519733389	-1,0650349	0,375	1	0
41	2,0	0,48764027163488377	6,0	0,9691030562453152	0,8454160806516253	-2,046424	0,41666666666666663	1	0
42	5,0	0,8676526732687578	2,0	0,08499744522380648	0,5095477771752143	2,9564805	0,875	1	1
43	1,0	0,19156356847749634	3,0	0,2214825722810757	0,40586169125054206	-2,9426553	0,8333333333333334	0	0
44	4,0	0,5783551219609391	3,0	0,32898071164556075	0,09869273724482519	-1,3883641	0,7083333333333333	0	0
45	2,0	0,002979228597961625	1,0	0,19253169766887435	0,4684084089107956	-0,359654	0,20833333333333331	1	0
46	4,0	0,30789420156932656	6,0	0,17700341971260347	0,46429695401296645	-1,8386381	0,8333333333333334	0	0
47	2,0	0,18940583186620652	4,0	0,5141627897108724	0,07352567977684688	-4,754658	0,8333333333333334	0	0
48	6,0	0,7257832600472774	2,0	0,25020534916272874	0,10967700034717642	1,412853	0,41666666666666663	0	1
49	6,0	0,7571557183959532	5,0	0,708494810477029	0,8450627586978435	2,4292407	0,7916666666666666	1	1
50	5,0	0,9904317781960088	5,0	0,9482223188366644	0,8044342839488897	2,4288366	0,75	1	1
51	6,0	0,22858549387828997	4,0	0,881466441943084	0,11425388870617126	-1,3280895	0,6666666666666667	0	0
52	6,0	0,17853152059436472	3,0	0,3834501375272069	0,005950439342349512	-1,1667633	0,625	0	0
53	1,0	0,9213260634053321	3,0	0,9268653908156248	0,565941755994632	-0,79650694	0,8333333333333334	0	0
54	1,0	0,5720088294651502	2,0	0,3595934969805229	0,029234951985751878	-3,0007234	0,7916666666666666	0	0
55	4,0	0,008215094445750637	6,0	0,537828049913782	0,8765635989889208	-1,2819066	0,33333333333333337	1	0
56	5,0	0,9710675493651763	2,0	0,1733526028540171	0,5645271168452184	3,5601883	0,875	1	1
57	2,0	0,6754933233022291	1,0	0,762141730676224	0,5912859373814137	0,70682085	0,7916666666666666	1	1
58	5,0	0,8178671861186664	5,0	0,06578875386669614	0,39077328200293826	-0,27692318	0,75	0	0
59	6,0	0,9459995901911497	5,0	0,3811453640751934	0,7646272121018243	2,5277162	0,7916666666666666	1	1
60	2,0	0,5342049811492514	5,0	0,977093301949007	0,5065051436136576	-2,1897693	0,875	0	0
