	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	2,0	0,44389249465033565	2,0	0,5284797121062399	0,7818643646188274	0,9315645	0,75	1	1
1	4,0	0,9220053881085873	5,0	0,14147329193868363	0,36207921682127453	0,24788588	0,7916666666666666	0	0
2	2,0	0,9790858461337657	6,0	0,6654579559807311	0,7982228425192943	0,122198045	0,41666666666666663	1	0
3	4,0	0,9909303975415603	2,0	0,39402701555335384	0,6274486973157333	3,0361342	0,8333333333333334	1	1
4	5,0	0,8713347744247166	5,0	0,03528926053083625	0,9232870925428642	3,503286	0,75	1	1
5	1,0	0,17465176990495201	6,0	0,9075959866497255	0,63477675709763	-3,442658	0,9583333333333334	0	0
6	4,0	0,8608259992475354	2,0	0,1813743904699896	0,8592492024917482	4,0712743	0,8333333333333334	1	1
7	4,0	0,6328195737971444	2,0	0,0785773407153505	0,09240567124536525	0,26603964	0,6666666666666667	0	0
8	3,0	0,062001043150916035	1,0	0,2626362593950219	0,8944963425654284	2,2634592	0,8333333333333334	1	1
9	5,0	0,582683318466702	3,0	0,9570466156384655	0,07938596213423976	-0,17182434	0,6666666666666667	0	0
10	3,0	0,04859213706303345	5,0	0,8301590402373792	0,9904710841194907	-0,48351645	0,33333333333333337	1	0
11	2,0	0,14129829897425517	1,0	0,18888991605851702	0,03211851640986296	-2,2741811	0,7083333333333333	0	0
12	4,0	0,27537186494565247	3,0	0,8229408964610446	0,021470893874906527	-1,9193664	0,7083333333333333	0	0
13	6,0	0,06464887504068784	1,0	0,7926552100469672	0,050811549389320865	0,35716766	0,5416666666666667	0	0
14	2,0	0,5009840205861953	2,0	0,3917229127554007	0,006998934690830572	-1,9222391	0,75	0	0
15	2,0	0,3268894891495072	5,0	0,361351864077474	0,0062677143005391844	-4,808534	0,875	0	0
16	1,0	0,8757077822433852	6,0	0,8913218714884465	0,5033788623290815	-3,3414176	0,9583333333333334	0	0
17	3,0	0,5139679953081405	4,0	0,017841604615392637	0,6007970669616223	0,032591403	0,29166666666666663	1	0
18	5,0	0,4078305341173454	3,0	0,9087632980869449	0,823247743710886	2,9467258	0,8333333333333334	1	1
19	5,0	0,11304390477728454	1,0	0,4313248560044294	0,4660202186380803	1,9296963	0,9166666666666666	1	1
20	3,0	0,46518577160091146	5,0	0,4401060796305356	0,5746732578687466	-0,8484687	0,8333333333333334	0	0
21	3,0	0,9087669287314415	1,0	0,1865792165155079	0,15576760961709568	0,70686567	0,33333333333333337	0	1
22	4,0	0,9927305904298562	2,0	0,8586368114854838	0,48055262908014584	2,4003177	0,8333333333333334	1	1
23	3,0	0,5443198023788984	1,0	0,8537054107803508	0,7364305169377386	2,4859061	0,8333333333333334	1	1
24	5,0	0,3300998908095897	2,0	0,16039351705045202	0,6834246830223929	3,2245917	0,875	1	1
