	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	5,0	0,9895206470383103	6,0	0,9438970879897765	0,4790886683931922	-0,07182288	0,7916666666666666	0	0
1	5,0	0,5795637187799764	6,0	0,5362247980554108	0,9021257270232683	1,7789594	0,7083333333333333	1	1
2	1,0	0,7132012891035681	4,0	0,7953084220056169	0,4228856931013798	-2,3794665	0,875	0	0
3	6,0	0,6010573267975418	2,0	0,025033717316674364	0,7668099968282669	4,159806	0,9166666666666666	1	1
4	1,0	0,3340052930159323	2,0	0,1350873304315453	0,20504282420650288	-1,246454	0,7916666666666666	0	0
5	1,0	0,42857327481957863	4,0	0,406223990939405	0,917341276169838	-0,28034034	0,375	1	0
6	3,0	0,9705672384670258	4,0	0,8485354704321213	0,050347672062297955	-2,253275	0,7916666666666666	0	0
7	2,0	0,8494509301004592	5,0	0,0006902492329895482	0,34174849583279954	-1,027558	0,875	0	0
8	1,0	0,6605863115346028	6,0	0,3148191116904838	0,7103390582688144	-1,5583744	0,9583333333333334	0	0
9	2,0	0,8940306423044662	3,0	0,2680303692324111	0,9353930446663438	2,5965822	0,7083333333333333	1	1
10	3,0	0,780434298944193	5,0	0,3516748924197808	0,9165835250988948	1,4311637	0,6666666666666667	1	1
11	4,0	0,7352031385737097	6,0	0,7490835685551717	0,2652365185196658	-2,3859975	0,8333333333333334	0	0
12	1,0	0,8093688988416389	4,0	0,820348750476247	0,9619553493598368	0,75498104	0,625	1	1
13	2,0	0,5061411881220279	3,0	0,25086685535942554	0,8872769653986831	1,8817472	0,7083333333333333	1	1
14	6,0	0,7408609096624497	1,0	0,6820535099498654	0,22287889286184348	3,2156653	0,9583333333333334	1	1
15	6,0	0,8323399061398785	6,0	0,02134412788268847	0,7233293378415773	2,1535392	0,75	1	1
16	6,0	0,7850216181413101	2,0	0,4903128822255721	0,14292365988978106	1,6465869	0,41666666666666663	0	1
17	2,0	0,3323613292639358	2,0	0,9355128060653443	0,7854463172823207	0,4326796	0,25	1	0
18	4,0	0,23943454633277073	3,0	0,9658878803137597	0,7021488481597205	0,20632768	0,20833333333333331	1	0
19	6,0	0,7225382345501878	5,0	0,126731940996627	0,15773688628118765	-0,26637658	0,7083333333333333	0	0
20	6,0	0,7132772591764829	1,0	0,03933836681745273	0,9023789857200558	6,880975	0,9583333333333334	1	1
21	6,0	0,005468378658631146	5,0	0,021673929119926605	0,7058873875506867	1,6754081	0,7916666666666666	1	1
22	3,0	0,6586122098186612	1,0	0,9624759179796268	0,297960313704992	0,43087065	0,16666666666666669	1	0
23	3,0	0,5039502034837269	2,0	0,22658340008112943	0,4226989484975112	0,74859345	0,7916666666666666	1	1
24	5,0	0,7976738111551934	6,0	0,9020360019711315	0,52082882737137	0,4771272	0,7916666666666666	0	0
25	1,0	0,5390899634412673	1,0	0,005478649580305084	0,7731055388476366	1,1404054	0,75	1	1
26	1,0	0,3229933616846208	5,0	0,8941638594890592	0,6524321267113985	-3,1013465	0,9166666666666666	0	0
27	1,0	0,5802144974842305	4,0	0,40145911324637407	0,7164860055939103	-0,58620816	0,875	0	0
28	4,0	0,522235427444154	5,0	0,6391811025857034	0,6337527104048043	0,02337192	0,29166666666666663	1	0
29	5,0	0,9353580314911547	2,0	0,6942796963737496	0,886323425950069	5,3445463	0,875	1	1
30	1,0	0,6453343119609218	4,0	0,4726145692079955	0,033259391940174465	-3,8693311	0,875	0	0
31	1,0	0,4177593566016876	6,0	0,021887032330188183	0,8256834167595478	-0,48367387	0,9583333333333334	0	0
32	1,0	0,2470647035673671	1,0	0,28777393398617135	0,6423351701634085	-0,265077	0,25	1	0
33	6,0	0,32298304829607094	2,0	0,766936719730515	0,6947367776697695	3,249817	0,9166666666666666	1	1
34	4,0	0,26677260748746023	5,0	0,5265440179730608	0,6493330702494707	-0,6050423	0,29166666666666663	1	0
35	3,0	0,31563471973576573	2,0	0,9105435461212774	0,050355513069461844	-1,8573203	0,7083333333333333	0	0
36	2,0	0,17554844674602477	3,0	0,6955433037255817	0,7340191947210662	-0,62864274	0,29166666666666663	1	0
37	6,0	0,8948895781722948	4,0	0,3497421660851687	0,4982455383994633	2,4652677	0,8333333333333334	1	1
