	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	4,0	0,2963516756319764	2,0	0,050240011855093414	0,6631073115463773	2,4717128	0,8333333333333334	1	1
1	4,0	0,16994844054709313	6,0	0,10787439522737052	0,9035994664975704	0,64601475	0,6666666666666667	1	1
2	4,0	0,5687935174191129	1,0	0,076316941317356	0,7396410630841137	3,521036	0,875	1	1
3	1,0	0,26423920634905906	3,0	0,25325179228934414	0,9052403961921723	0,25619507	0,33333333333333337	1	0
4	4,0	0,7360984512969634	5,0	0,1895071382515907	0,8556939720030273	2,1967947	0,7083333333333333	1	1
5	6,0	0,37641531492946734	1,0	0,9393434265077703	0,6705918652582081	3,9725776	0,9583333333333334	1	1
6	5,0	0,5709026401830181	3,0	0,5440956522677117	0,7892508920593421	3,1888857	0,8333333333333334	1	1
7	3,0	0,3682818941030024	1,0	0,5622149625412901	0,18475897457702084	0,16681202	0,6666666666666667	0	0
8	1,0	0,36454862806979427	5,0	0,052139734111282365	0,5133049980019483	-2,7444637	0,9166666666666666	0	0
9	6,0	0,6510865564377079	3,0	0,7232091439497448	0,8458565258392304	4,6333447	0,875	1	1
10	2,0	0,18608703340040134	6,0	0,24160200698331025	0,37573372482923695	-4,199972	0,9166666666666666	0	0
11	2,0	0,0714118192519283	1,0	0,46365024666295196	0,5969006780593689	0,7461451	0,7916666666666666	1	1
12	6,0	0,2755470238535215	1,0	0,25448802484411803	0,719131248935505	4,2389145	0,9583333333333334	1	1
13	4,0	0,8799576059833418	5,0	0,5607251675477293	0,9107960503098481	2,3020453	0,7083333333333333	1	1
14	4,0	0,05157013455445236	4,0	0,2187064911667791	0,40821698614609336	-1,1321093	0,75	0	0
15	4,0	0,11324229522551832	6,0	0,5905439577629509	0,08955289491714624	-3,6644924	0,8333333333333334	0	0
16	1,0	0,5281124105255022	4,0	0,46933002719419326	0,19771836475200877	-3,5332224	0,875	0	0
17	1,0	0,629245842665639	4,0	0,6978983662815098	0,5128360275847103	-1,8756287	0,875	0	0
18	2,0	0,23053668426360363	1,0	0,561314220825285	0,09037118339913497	-1,4984576	0,7083333333333333	0	0
19	6,0	0,6231921285334936	3,0	0,7741879776150664	0,118524840642665	0,97936356	0,375	0	1
20	4,0	0,5663673297451256	2,0	0,7808686963208937	0,7055401552854389	3,0179412	0,8333333333333334	1	1
21	3,0	0,42919490308664654	1,0	0,4590740296607976	0,9832705276137876	3,3644502	0,8333333333333334	1	1
22	1,0	0,7824405668276135	5,0	0,009863778997844852	0,12048597359625213	-4,128313	0,9166666666666666	0	0
23	5,0	0,020702687051517454	6,0	0,622296945031527	0,37982974374566036	-1,6150067	0,7916666666666666	0	0
24	4,0	0,19701074421577702	5,0	0,3796594054314748	0,9745929191091374	1,1795464	0,7083333333333333	1	1
25	4,0	0,5015889027382368	1,0	0,25932834752245026	0,6218898909613212	3,5877564	0,875	1	1
26	3,0	0,6335310237359832	5,0	0,3109657269370274	0,9468692977617941	1,2277596	0,6666666666666667	1	1
27	4,0	0,64670653874618	4,0	0,24951025132029891	0,6006049587343694	1,2023653	0,75	1	1
28	2,0	0,7709141725568472	3,0	0,9497475775533644	0,3354398702816114	-0,79010797	0,7916666666666666	0	0
29	5,0	0,3729241037492754	4,0	0,9286270278780688	0,32366932039197027	-0,26236534	0,7083333333333333	0	0
