	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	6,0	0,48557366398911084	4,0	0,862606890334748	0,8234465568998183	2,86558	0,8333333333333334	1	1
1	4,0	0,9773968466536305	1,0	0,004254267015454949	0,11246471462100172	0,77856004	0,375	0	1
2	2,0	0,364703999033238	2,0	0,31887336299912494	0,621211672322812	0,24563915	0,25	1	0
3	6,0	0,5115801041937682	4,0	0,6101925242075626	0,6432869712302386	1,8536787	0,8333333333333334	1	1
4	4,0	0,7209706859916113	1,0	0,6480226202842637	0,9223812026032555	4,8042564	0,875	1	1
5	1,0	0,27799707079100167	6,0	0,4427297922123571	0,40507981449513475	-5,2337966	0,9583333333333334	0	0
6	5,0	0,1245746101158497	2,0	0,8225292908716187	0,4307939759476057	0,51090264	0,875	1	1
7	1,0	0,72860711255197	3,0	0,3890495077906654	0,16404776785821673	-2,9982514	0,8333333333333334	0	0
8	1,0	0,08036739900487788	1,0	0,14897739836989166	0,49850253828626123	-0,80534595	0,75	0	0
9	1,0	0,9841461681980342	1,0	0,3805512928231809	0,6865599587007558	2,0199416	0,75	1	1
10	6,0	0,9605949598012538	4,0	0,1471224460159296	0,7039405093799017	3,5212147	0,8333333333333334	1	1
11	6,0	0,399125312572733	1,0	0,20826403013263795	0,2037153891227631	1,4743748	0,9583333333333334	1	1
12	6,0	0,2500415372936471	6,0	0,4445218022157491	0,35138844282520654	-1,044579	0,75	0	0
13	6,0	0,690912766070796	1,0	0,7568108275563519	0,2861704809286447	3,0229237	0,9583333333333334	1	1
14	6,0	0,03670769227535553	2,0	0,9498995801235222	0,2702724877156728	0,21468578	0,08333333333333331	1	0
15	1,0	0,9114473418969159	4,0	0,4448366754671258	0,2799094652253705	-2,8684509	0,875	0	0
16	4,0	0,23905726537233773	2,0	0,4488744173547512	0,6546973239813876	1,5998571	0,8333333333333334	1	1
17	3,0	0,20378393296923514	4,0	0,7247725192042912	0,4381258413945113	-1,9175427	0,7916666666666666	0	0
18	2,0	0,5847166093613908	1,0	0,5891621640201676	0,6388245679909431	0,91009885	0,7916666666666666	1	1
19	4,0	0,1682303321097952	3,0	0,7902503919373308	0,16429058658908935	-1,959512	0,7083333333333333	0	0
20	2,0	0,40795974274070357	5,0	0,016437069842975216	0,06243381894650213	-4,931671	0,875	0	0
21	5,0	0,14382776252995977	6,0	0,3086105097826556	0,264973506765272	-2,337309	0,7916666666666666	0	0
