	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	4,0	0,8937900325418661	6,0	0,06107299311320924	0,7132842182033519	0,34511	0,33333333333333337	1	0
1	3,0	0,49990844435480686	6,0	0,38916507295744796	0,8617581923541865	-0,7663088	0,375	1	0
2	5,0	0,49091518058387107	1,0	0,6313237712967755	0,26938030603079277	1,016428	0,9166666666666666	1	1
3	1,0	0,40372084806217	1,0	0,609380915107354	0,802132315807205	0,18423468	0,25	1	0
4	2,0	0,43011359924862025	4,0	0,08502799327038957	0,46358347790942656	-2,0516753	0,8333333333333334	0	0
5	4,0	0,4237174554365075	6,0	0,9865887413088192	0,9353261587271963	0,103358656	0,33333333333333337	1	0
6	3,0	0,17968991657097988	2,0	0,9692636654044298	0,29770106696071663	-1,7615783	0,7083333333333333	0	0
7	6,0	0,032112084151341036	1,0	0,04664103714599099	0,6048711625331027	2,6326785	0,9583333333333334	1	1
8	5,0	0,948269795163487	2,0	0,013821532348562426	0,5610559277018616	3,7220414	0,875	1	1
9	5,0	0,09414446360794482	2,0	0,37050104524909033	0,9795904219746859	3,7377741	0,875	1	1
10	5,0	0,4831092405468266	3,0	0,36204869460516564	0,5172567616935678	1,3595586	0,8333333333333334	1	1
11	2,0	0,9000143124333322	1,0	0,6725248214470718	0,9036812810460658	3,341036	0,7916666666666666	1	1
12	2,0	0,8313324472767618	6,0	0,2557850507717233	0,9065081062840715	0,096514955	0,41666666666666663	1	0
13	4,0	0,5248698694475362	2,0	0,4950962413790624	0,0030309726152748517	-1,0833164	0,6666666666666667	0	0
14	6,0	0,5638250056294632	3,0	0,9049643860036417	0,7012410981413968	3,1461992	0,875	1	1
15	6,0	0,05230919103593068	4,0	0,37909679190747947	0,42067169125546944	0,26173162	0,16666666666666669	1	0
16	3,0	0,6535522819323173	6,0	0,5334077192901185	0,7017355186857958	-1,2671318	0,375	1	0
17	2,0	0,6101607429076715	2,0	0,5592601288922013	0,35395140272425063	-0,8086278	0,75	0	0
18	5,0	0,01270547814763312	3,0	0,3265557408317832	0,08767139206898522	-1,7060583	0,6666666666666667	0	0
19	6,0	0,5525853776476376	4,0	0,15631675101652553	0,8155999202247249	3,1586375	0,8333333333333334	1	1
20	2,0	0,3858261947988678	3,0	0,015492836769411378	0,11080544227156852	-3,1523151	0,7916666666666666	0	0
21	3,0	0,21637031053043865	4,0	0,4646765288811574	0,5378402271560765	-1,4938774	0,7916666666666666	0	0
22	4,0	0,407483215634721	6,0	0,19870303051010807	0,615252388722347	-1,3281171	0,33333333333333337	1	0
23	4,0	0,6298328369900025	4,0	0,6608515584847177	0,46109807109118417	-0,1591601	0,75	0	0
24	1,0	0,8367380139844414	5,0	0,41718866166818624	0,6548463928086622	-1,8806071	0,9166666666666666	0	0
25	4,0	0,12704638770451282	6,0	0,5727047435133209	0,32951041417763494	-3,4640062	0,8333333333333334	0	0
26	4,0	0,9118711387280733	3,0	0,9853247823445446	0,17098313264865694	-0,4137903	0,7083333333333333	0	0
27	5,0	0,36913141353223566	3,0	0,5491856085028	0,846263157264912	2,7329485	0,8333333333333334	1	1
28	1,0	0,5788539981336904	1,0	0,1962577547649358	0,19159798310557985	-2,3254597	0,75	0	0
29	1,0	0,9488562455399111	4,0	0,50310132555444	0,12821364276516445	-3,5092793	0,875	0	0
30	3,0	0,5072817949066848	2,0	0,8976738741146681	0,047132065532898726	-2,2316694	0,7083333333333333	0	0
31	4,0	0,8130843859271158	1,0	0,3678212032735374	0,3075570461594729	1,9382272	0,875	1	1
32	1,0	0,8300313478790746	5,0	0,8589251334317968	0,3604419390360871	-3,5876446	0,9166666666666666	0	0
33	4,0	0,4568123097173198	4,0	0,5432502536075431	0,929142291432504	1,8042983	0,75	1	1
34	1,0	0,17783589951389223	3,0	0,45363683061613114	0,6042152483497192	-2,0337598	0,8333333333333334	0	0
35	4,0	0,8754419651328138	6,0	0,9938443436819284	0,10428369479297761	-3,116881	0,8333333333333334	0	0
36	1,0	0,11509580943110731	3,0	0,6099835062150045	0,6948805053938782	-1,9846452	0,8333333333333334	0	0
37	4,0	0,8239907896271356	2,0	0,05880946774262541	0,7531630909425503	3,0927324	0,8333333333333334	1	1
38	6,0	0,974250213939978	6,0	0,54140806041822	0,4519860683675816	1,3617517	0,25	0	1
39	3,0	0,27645455840998967	2,0	0,3577598162632085	0,3041453009852685	-0,8765465	0,7083333333333333	0	0
40	4,0	0,4162853489493098	3,0	0,6752691483249891	0,11572501486737974	-1,588978	0,7083333333333333	0	0
41	4,0	0,9103369758380632	6,0	0,5966193426032882	0,5636043850164423	-0,6217834	0,8333333333333334	0	0
42	5,0	0,8947288266195533	3,0	0,2801539306962917	0,6938946567464952	3,3546896	0,8333333333333334	1	1
43	4,0	0,204135400584325	2,0	0,3510138742637966	0,04946926841080734	-1,9452689	0,6666666666666667	0	0
44	6,0	0,5539423181409271	3,0	0,2747477638947864	0,09710487947168411	0,3988871	0,625	0	0
45	5,0	0,7248641944769223	3,0	0,267346918280291	0,7260612900334099	3,116547	0,8333333333333334	1	1
46	3,0	0,21375612610142336	6,0	0,14726330929597453	0,41942099478249617	-3,615236	0,875	0	0
47	4,0	0,7300103713637051	2,0	0,5950946351732649	0,1867385644663231	0,27514216	0,6666666666666667	0	0
48	3,0	0,38653998027283987	2,0	0,25896369122911567	0,9184073551651253	2,3539262	0,7916666666666666	1	1
49	5,0	0,5930981018217132	6,0	0,38614676756737276	0,18927371101624935	-2,272605	0,7916666666666666	0	0
50	3,0	0,8300240450078942	6,0	0,9327560677271575	0,3070596722547537	-2,953452	0,875	0	0
51	3,0	0,5008172690142446	6,0	0,2596002518311371	0,8368750443814663	-0,19282381	0,375	1	0
52	3,0	0,11553360990676043	3,0	0,7997632979534878	0,4390885319881642	-1,5357416	0,75	0	0
53	3,0	0,9671240880592465	1,0	0,1930013466653796	0,47582555328760534	2,3355176	0,8333333333333334	1	1
