	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x31d33df70>	0	0	44	56
1	<Individual.Individual object at 0x31dc42af0>	0	0	44	56
2	<Individual.Individual object at 0x31e2bcfa0>	0	0	44	56
3	<Individual.Individual object at 0x31eb8e5b0>	0	0	44	56
4	<Individual.Individual object at 0x31dbb0940>	0	0	44	56
5	<Individual.Individual object at 0x31d9b0700>	0	0	44	56
6	<Individual.Individual object at 0x31d3906a0>	0	0	44	56
7	<Individual.Individual object at 0x31d1bd610>	0	0	44	56
8	<Individual.Individual object at 0x31fb40df0>	0	0	44	56
9	<Individual.Individual object at 0x31fe19700>	0	0	44	56
10	<Individual.Individual object at 0x31cb51970>	0	0	44	56
11	<Individual.Individual object at 0x31cb4e4f0>	0	0	44	56
12	<Individual.Individual object at 0x31ce4ed60>	0	0	44	56
13	<Individual.Individual object at 0x31ce7cbe0>	0	0	44	56
14	<Individual.Individual object at 0x31c45e730>	0	0	44	56
15	<Individual.Individual object at 0x31c71f790>	0	0	44	56
16	<Individual.Individual object at 0x31c705e20>	0	0	44	56
17	<Individual.Individual object at 0x31b9cc970>	0	0	44	56
18	<Individual.Individual object at 0x31cd5d4f0>	0	0	44	56
19	<Individual.Individual object at 0x31cd6ed60>	0	0	44	56
20	<Individual.Individual object at 0x31a750be0>	0	0	44	56
21	<Individual.Individual object at 0x31c1b8220>	0	0	44	56
22	<Individual.Individual object at 0x31c196fa0>	0	0	44	56
23	<Individual.Individual object at 0x31c7b3e20>	0	0	44	56
24	<Individual.Individual object at 0x31c796af0>	0	0	44	56
25	<Individual.Individual object at 0x31faf77f0>	0	0	44	56
26	<Individual.Individual object at 0x31eaec520>	0	0	44	56
27	<Individual.Individual object at 0x31ea8a310>	0	0	44	56
28	<Individual.Individual object at 0x31ea9cf70>	0	0	44	56
29	<Individual.Individual object at 0x31dc36ca0>	0	0	44	56
30	<Individual.Individual object at 0x31dc039a0>	0	0	44	56
31	<Individual.Individual object at 0x31e41f6d0>	0	0	44	56
32	<Individual.Individual object at 0x31f89e400>	0	0	44	56
33	<Individual.Individual object at 0x31f893e20>	0	0	44	56
34	<Individual.Individual object at 0x16bc7ae50>	0	0	44	56
35	<Individual.Individual object at 0x16bc89b80>	0	0	44	56
36	<Individual.Individual object at 0x31dfca880>	0	0	44	56
37	<Individual.Individual object at 0x31eb2e5b0>	0	0	44	56
38	<Individual.Individual object at 0x31db10b50>	0	0	44	56
39	<Individual.Individual object at 0x31db30040>	0	0	44	56
40	<Individual.Individual object at 0x31dce31c0>	0	0	44	56
41	<Individual.Individual object at 0x31dcf3a30>	0	0	44	56
42	<Individual.Individual object at 0x31f851760>	0	0	44	56
43	<Individual.Individual object at 0x31ebf3490>	0	0	44	56
44	<Individual.Individual object at 0x31ebe9eb0>	0	0	44	56
45	<Individual.Individual object at 0x31c589ee0>	0	0	44	56
46	<Individual.Individual object at 0x31c598c10>	0	0	44	56
47	<Individual.Individual object at 0x31bf40910>	0	0	44	56
48	<Individual.Individual object at 0x31e29f640>	0	0	44	56
49	<Individual.Individual object at 0x31e286370>	0	0	44	56
50	<Individual.Individual object at 0x31c24cd90>	0	0	44	56
51	<Individual.Individual object at 0x31a5badc0>	0	0	44	56
52	<Individual.Individual object at 0x31a5f3af0>	0	0	44	56
53	<Individual.Individual object at 0x31bfd57f0>	0	0	44	56
54	<Individual.Individual object at 0x31bfd0520>	0	0	44	56
55	<Individual.Individual object at 0x31c4d1ac0>	0	0	44	56
56	<Individual.Individual object at 0x31fab9f70>	0	0	44	56
57	<Individual.Individual object at 0x31faa3ca0>	0	0	44	56
58	<Individual.Individual object at 0x31bf809a0>	0	0	44	56
59	<Individual.Individual object at 0x31ce8d6d0>	0	0	44	56
60	<Individual.Individual object at 0x31ce96400>	0	0	44	56
61	<Individual.Individual object at 0x31c5c0e20>	0	0	44	56
62	<Individual.Individual object at 0x31c5dce50>	0	0	44	56
63	<Individual.Individual object at 0x31c9e3b80>	0	0	44	56
64	<Individual.Individual object at 0x31cdf2880>	0	0	44	56
65	<Individual.Individual object at 0x31cdc75b0>	0	0	44	56
66	<Individual.Individual object at 0x31c99db50>	0	0	44	56
67	<Individual.Individual object at 0x31c2fbf70>	0	0	44	56
68	<Individual.Individual object at 0x31c2ead30>	0	0	44	56
69	<Individual.Individual object at 0x31c283a30>	0	0	44	56
70	<Individual.Individual object at 0x31c294760>	0	0	44	56
71	<Individual.Individual object at 0x31e19d490>	0	0	44	56
72	<Individual.Individual object at 0x31fbd7eb0>	0	0	44	56
73	<Individual.Individual object at 0x31fbdeee0>	0	0	44	56
74	<Individual.Individual object at 0x31fb1ac10>	0	0	44	56
75	<Individual.Individual object at 0x31ea56910>	0	0	44	56
76	<Individual.Individual object at 0x31ea70640>	0	0	44	56
77	<Individual.Individual object at 0x31ed47370>	0	0	44	56
78	<Individual.Individual object at 0x31ed57d90>	0	0	44	56
79	<Individual.Individual object at 0x31e2fddc0>	0	0	44	56
80	<Individual.Individual object at 0x31ce1aaf0>	0	0	44	56
81	<Individual.Individual object at 0x31ce247f0>	0	0	44	56
82	<Individual.Individual object at 0x31e12b520>	0	0	44	56
83	<Individual.Individual object at 0x31eb8aac0>	0	0	44	56
84	<Individual.Individual object at 0x31ebbaf70>	0	0	44	56
85	<Individual.Individual object at 0x31e4feca0>	0	0	44	56
86	<Individual.Individual object at 0x31e4db9a0>	0	0	44	56
87	<Individual.Individual object at 0x31e1f96d0>	0	0	44	56
88	<Individual.Individual object at 0x31d326400>	0	0	44	56
89	<Individual.Individual object at 0x31d32ce20>	0	0	44	56
90	<Individual.Individual object at 0x31c961e50>	0	0	44	56
91	<Individual.Individual object at 0x31c95cb80>	0	0	44	56
92	<Individual.Individual object at 0x31c7ea880>	0	0	44	56
93	<Individual.Individual object at 0x31f81c5b0>	0	0	44	56
94	<Individual.Individual object at 0x31c513b50>	0	0	44	56
95	<Individual.Individual object at 0x31c52e040>	0	0	44	56
96	<Individual.Individual object at 0x31d116d30>	0	0	44	56
97	<Individual.Individual object at 0x31e5b91f0>	0	0	44	56
98	<Individual.Individual object at 0x31c563220>	0	0	44	56
99	<Individual.Individual object at 0x31e254ee0>	0	0	44	56
