	true_y	pred_y
0	1,0	True
1	1,0	False
2	0,0	True
3	1,0	False
4	0,0	False
5	1,0	False
6	1,0	True
7	1,0	False
8	1,0	True
9	1,0	True
10	1,0	True
11	1,0	True
12	0,0	True
13	1,0	False
14	1,0	True
15	1,0	True
16	0,0	True
17	0,0	True
18	0,0	False
19	1,0	True
20	0,0	True
21	1,0	True
22	0,0	False
23	1,0	True
24	1,0	True
25	1,0	True
26	1,0	False
27	1,0	True
28	1,0	True
29	1,0	True
30	1,0	True
31	0,0	True
32	1,0	False
33	1,0	True
34	0,0	False
35	1,0	True
36	1,0	True
37	0,0	False
38	0,0	True
39	0,0	True
40	1,0	True
41	0,0	True
42	1,0	True
43	1,0	True
44	0,0	False
45	1,0	True
46	0,0	True
47	1,0	True
48	0,0	True
49	1,0	True
50	1,0	True
51	1,0	True
52	1,0	True
53	0,0	True
54	1,0	True
55	1,0	True
56	0,0	True
57	1,0	True
58	1,0	True
59	0,0	True
60	1,0	True
61	1,0	False
62	0,0	False
63	0,0	True
64	0,0	True
65	0,0	True
66	1,0	True
67	0,0	True
68	0,0	True
69	0,0	False
70	1,0	True
71	1,0	True
72	1,0	True
73	0,0	True
74	0,0	True
75	1,0	True
76	0,0	True
77	1,0	True
78	1,0	True
79	1,0	True
80	1,0	True
81	1,0	True
82	1,0	True
83	1,0	True
84	1,0	False
85	1,0	True
86	1,0	True
87	0,0	True
88	1,0	True
89	0,0	True
90	0,0	True
91	0,0	False
92	1,0	True
93	1,0	True
94	1,0	True
95	0,0	True
96	0,0	False
97	0,0	True
98	0,0	False
99	0,0	True
100	1,0	True
101	1,0	False
102	0,0	True
103	1,0	False
104	0,0	True
105	1,0	False
106	1,0	True
107	1,0	True
108	1,0	False
109	1,0	True
110	1,0	False
111	1,0	False
112	0,0	True
113	1,0	True
114	1,0	False
115	1,0	True
116	0,0	False
117	0,0	True
118	0,0	True
119	1,0	True
120	0,0	True
121	1,0	True
122	0,0	True
123	1,0	False
124	1,0	False
125	1,0	False
126	1,0	True
127	1,0	False
128	1,0	False
129	1,0	True
130	1,0	False
131	0,0	True
132	1,0	False
133	1,0	True
134	0,0	True
135	1,0	True
136	1,0	False
137	0,0	True
138	0,0	True
139	0,0	True
140	1,0	True
141	0,0	True
142	1,0	True
143	1,0	True
144	0,0	True
145	1,0	False
146	0,0	True
147	1,0	False
148	0,0	False
