numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
5,0	0,8263403087038393	6,0	0,29046557988513433	0,8596290695690838	0,9126250244888993	0	1	1
5,0	0,08447412588194059	1,0	0,34886559156028296	0,34301627452930294	0,3424950332710496	0	1	1
3,0	0,7649298416845425	4,0	0,868486468351584	0,8104797037586209	0,522546495780555	0	1	0
4,0	0,11622118932084569	3,0	0,5684686771748652	0,7426672338808818	0,2683791662818541	0	1	0
3,0	0,9217394770058129	1,0	0,9210232697974454	0,0824925645118273	0,8228061134167332	0	1	1
4,0	0,9258737758289995	5,0	0,9058034971816581	0,5106094760034416	0,9514752820515384	0	0	0
3,0	0,8216080899877651	3,0	0,8730369257931913	0,8350046514943865	0,3448665507747166	0	1	0
2,0	0,22688091236168728	3,0	0,375140547263105	0,609528778431647	0,6230149635741106	0	0	0
5,0	0,7094819655245725	2,0	0,4922840392651908	0,2181443281547647	0,758044478415686	0	1	1
5,0	0,1748478833819912	2,0	0,40333663452126256	0,07627258183005325	0,018701680708730906	0	0	1
4,0	0,3103131999369281	3,0	0,2791727547359234	0,3005982014012041	0,938437247197139	0	1	1
5,0	0,09390791915485663	6,0	0,4614886082998715	0,44613243293350513	0,506543654052794	0	0	0
3,0	0,5434434391976362	5,0	0,2921046943096106	0,7527878559301281	0,9362600656157805	0	1	1
4,0	0,48627980551127925	4,0	0,8255790846443911	0,8574909345107727	0,038472051184013645	0	1	0
1,0	0,560330745683365	6,0	0,48606965975008987	0,5473696892192348	0,3005108956804604	0	0	0
1,0	0,2941247014273083	5,0	0,8636386166691558	0,268943150109589	0,8019715405985812	0	0	0
4,0	0,8457923139799141	6,0	0,13338649890972154	0,35366914753967715	0,8394477901947649	0	1	1
2,0	0,02463660359888986	3,0	0,11742197864065185	0,689006514154282	0,6593326081412574	0	1	0
1,0	0,20717638050927645	4,0	0,997095660176872	0,3230623902816502	0,8612353939390154	0	0	0
2,0	0,5976575415471435	1,0	0,4317002373478229	0,9046712647898821	0,538938282040639	0	1	1
5,0	0,5645249933685433	3,0	0,3936744694575266	0,20258657618979448	0,060256035722106915	0	1	1
5,0	0,16219578583283423	3,0	0,3917972897231896	0,529783398648653	0,23439859074224534	0	1	0
1,0	0,18780385930190902	6,0	0,21966192198556922	0,8873771512618682	0,7830438034657256	0	1	0
5,0	0,06522198866444828	1,0	0,2255048436413667	0,2165184874432048	0,8164221183238342	0	1	1
5,0	0,3797497318540257	6,0	0,304359592931323	0,4737005308920532	0,5096643414734814	0	1	1
1,0	0,1011525907278592	1,0	0,5929165211482941	0,5386670503015332	0,7233812146041988	0	0	0
4,0	0,2184419731302012	1,0	0,14932442016790726	0,931567210511542	0,4649691574372975	0	1	1
3,0	0,22974358996978483	1,0	0,862191183413053	0,7876614870088995	0,5517074949918956	0	1	0
1,0	0,5744082954893532	1,0	0,106333767752816	0,5970830789894374	0,8088197167799369	0	1	1
3,0	0,35308603487525814	1,0	0,23874978351691123	0,19160849953004766	0,9886030365437123	0	1	1
5,0	0,8053655117635556	2,0	0,4202966023923431	0,49639249991182965	0,24891470136837335	0	1	1
5,0	0,7397562671679658	5,0	0,23330638937156034	0,448889923813383	0,9630725945228511	0	1	1
2,0	0,9993658061181014	1,0	0,7837428035737668	0,560800273984134	0,6866245069013316	0	1	1
6,0	0,02687194840874152	1,0	0,1210344565214645	0,27444147972156985	0,7619003401903717	0	1	1
2,0	0,4452218203580871	1,0	0,8631426314338313	0,9126474338389718	0,46033996143010636	0	1	1
1,0	0,49778045311784136	1,0	0,8904394099982699	0,503157427294758	0,3396317727683459	0	0	0
4,0	0,9517234066925754	4,0	0,5172808762218681	0,99171064368651	0,48339506918701947	0	1	1
2,0	0,24771982810449322	5,0	0,5906983468595018	0,003606277392679269	0,3192738768073776	0	0	0
5,0	0,07684202073556334	3,0	0,007092439559986619	0,5807972026680367	0,2563245597869789	0	1	1
1,0	0,3351708031977645	5,0	0,8232828037181652	0,010768769243711396	0,200391787270923	0	0	0
1,0	0,38461801350530234	3,0	0,0013194146545688623	0,27647886993792925	0,6815163764515456	0	0	1
4,0	0,9886723440325059	3,0	0,482147403426317	0,8150645809185222	0,4452457146028703	0	1	1
6,0	0,03860651457480646	4,0	0,8676159877680377	0,9093732140775919	0,2588559184937148	0	1	0
3,0	0,6861277325037546	5,0	0,38029205773317043	0,8525623021835694	0,8348795801873824	0	1	1
4,0	0,47538233035501465	3,0	0,6321092165879875	0,9006303165501461	0,9388615164219771	0	1	1
3,0	0,9441962733980537	4,0	0,16086907407774287	0,682283429605463	0,5161239611222775	0	1	1
4,0	0,5335900718157374	4,0	0,5277560659863972	0,7238942113841572	0,4461068137343249	0	1	1
2,0	0,3821321415373863	4,0	0,015282821736093632	0,12934232187543848	0,9494843445387001	0	0	1
3,0	0,6685772717102693	5,0	0,06058178563691341	0,9535214399065985	0,8113612012548144	0	1	1
2,0	0,22746181914153607	2,0	0,29068701507953143	0,3610701218665243	0,16763625507884916	0	0	0
5,0	0,3274192995945824	2,0	0,06158928838195332	0,8050208230113912	0,9054460607103069	0	1	1
4,0	0,1964210599524313	2,0	0,04387620272016468	0,6830056604746844	0,688400912660108	0	1	1
3,0	0,023055235145325703	4,0	0,2993186416777649	0,618981774627273	0,9252882067338634	0	0	0
4,0	0,1802712734017229	5,0	0,6693214489570635	0,9936437905035136	0,9411348849305168	0	1	0
4,0	0,13002452277510812	6,0	0,5735260234899517	0,16576219499487077	0,1872647110277682	0	0	0
1,0	0,06706010437075871	4,0	0,08356329677536745	0,8417881935352454	0,3731720125713225	0	1	0
6,0	0,7096720399810572	2,0	0,6079510314199532	0,1850904512106445	0,8973262404265867	0	1	1
3,0	0,1178190582153067	6,0	0,8990549120716579	0,565727020700812	0,5366566146917282	0	0	0
3,0	0,22305562419926528	6,0	0,6984228042078173	0,1807933203268811	0,6822501433537161	0	0	0
1,0	0,7509025828648761	5,0	0,47228174136078716	0,8047058479755446	0,6815824655793562	0	0	0
4,0	0,6023054296672047	1,0	0,61694424284293	0,36762289319815755	0,007504616103927608	0	1	1
