	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x349c7ee20>	21	7	47	25
1	<Individual.Individual object at 0x16b2921c0>	21	7	47	25
2	<Individual.Individual object at 0x32426a760>	21	7	47	25
3	<Individual.Individual object at 0x34b2a5f40>	21	7	47	25
4	<Individual.Individual object at 0x352462cd0>	21	7	47	25
5	<Individual.Individual object at 0x324257b50>	21	7	47	25
6	<Individual.Individual object at 0x34b794610>	21	7	47	25
7	<Individual.Individual object at 0x34aaf7f10>	21	7	47	25
8	<Individual.Individual object at 0x324849af0>	21	7	47	25
9	<Individual.Individual object at 0x324a04310>	21	7	47	25
10	<Individual.Individual object at 0x349ad3df0>	21	7	47	25
11	<Individual.Individual object at 0x34aa1f130>	21	7	47	25
12	<Individual.Individual object at 0x34aa61220>	21	7	47	25
13	<Individual.Individual object at 0x3225dcbb0>	21	7	47	25
14	<Individual.Individual object at 0x16b2b72e0>	21	7	47	25
15	<Individual.Individual object at 0x324a56df0>	21	7	47	25
16	<Individual.Individual object at 0x34b0297c0>	21	7	47	25
17	<Individual.Individual object at 0x16b2c9a90>	21	7	47	25
18	<Individual.Individual object at 0x32323eb80>	21	7	47	25
19	<Individual.Individual object at 0x34b79ae80>	21	7	47	25
20	<Individual.Individual object at 0x497bd25e0>	21	7	47	25
21	<Individual.Individual object at 0x32321e160>	21	7	47	25
22	<Individual.Individual object at 0x3243c1ac0>	21	7	47	25
23	<Individual.Individual object at 0x34bc7c8b0>	21	7	47	25
24	<Individual.Individual object at 0x349ed1be0>	21	7	47	25
25	<Individual.Individual object at 0x35189f8b0>	21	7	47	25
26	<Individual.Individual object at 0x351848bb0>	21	7	47	25
27	<Individual.Individual object at 0x34b4a1d90>	21	7	47	25
28	<Individual.Individual object at 0x34cc83a60>	21	7	47	25
29	<Individual.Individual object at 0x32426e0a0>	21	7	47	25
30	<Individual.Individual object at 0x324361f40>	21	7	47	25
31	<Individual.Individual object at 0x4f6931c70>	21	7	47	25
32	<Individual.Individual object at 0x34d8b0760>	21	7	47	25
33	<Individual.Individual object at 0x52ea626d0>	21	7	47	25
34	<Individual.Individual object at 0x34ed3cfa0>	21	7	47	25
35	<Individual.Individual object at 0x34ab61760>	21	7	47	25
36	<Individual.Individual object at 0x469c82250>	21	7	47	25
37	<Individual.Individual object at 0x34c29fca0>	21	7	47	25
38	<Individual.Individual object at 0x4f69243a0>	21	7	47	25
39	<Individual.Individual object at 0x34b29acd0>	21	7	47	25
40	<Individual.Individual object at 0x350a273d0>	21	7	47	25
41	<Individual.Individual object at 0x354409b20>	21	7	47	25
42	<Individual.Individual object at 0x324c57550>	21	7	47	25
43	<Individual.Individual object at 0x34a829df0>	21	7	47	25
44	<Individual.Individual object at 0x34edc5940>	21	7	47	25
45	<Individual.Individual object at 0x34edc05b0>	21	7	47	25
46	<Individual.Individual object at 0x34ac03070>	21	7	47	25
47	<Individual.Individual object at 0x32438fbb0>	21	7	47	25
48	<Individual.Individual object at 0x3243bf700>	21	7	47	25
49	<Individual.Individual object at 0x34f86bf70>	21	7	47	25
50	<Individual.Individual object at 0x34f87bdf0>	21	7	47	25
51	<Individual.Individual object at 0x4f690e940>	21	7	47	25
52	<Individual.Individual object at 0x3225cb4c0>	21	7	47	25
53	<Individual.Individual object at 0x3225c4070>	21	7	47	25
54	<Individual.Individual object at 0x497b7dbb0>	21	7	47	25
55	<Individual.Individual object at 0x349a90700>	21	7	47	25
56	<Individual.Individual object at 0x34b773f70>	21	7	47	25
57	<Individual.Individual object at 0x34b764df0>	21	7	47	25
58	<Individual.Individual object at 0x34c272940>	21	7	47	25
59	<Individual.Individual object at 0x350ac94c0>	21	7	47	25
60	<Individual.Individual object at 0x350a8f070>	21	7	47	25
61	<Individual.Individual object at 0x34dc9cbb0>	21	7	47	25
62	<Individual.Individual object at 0x34acaa700>	21	7	47	25
63	<Individual.Individual object at 0x34acc1f70>	21	7	47	25
64	<Individual.Individual object at 0x496e7edf0>	21	7	47	25
65	<Individual.Individual object at 0x3520cc940>	21	7	47	25
66	<Individual.Individual object at 0x3520eb4c0>	21	7	47	25
67	<Individual.Individual object at 0x416c11070>	21	7	47	25
68	<Individual.Individual object at 0x34ad4ebb0>	21	7	47	25
69	<Individual.Individual object at 0x34ad64700>	21	7	47	25
70	<Individual.Individual object at 0x34fb93f70>	21	7	47	25
71	<Individual.Individual object at 0x34fbc0df0>	21	7	47	25
72	<Individual.Individual object at 0x34ce27940>	21	7	47	25
73	<Individual.Individual object at 0x4ee0504c0>	21	7	47	25
74	<Individual.Individual object at 0x35219f070>	21	7	47	25
75	<Individual.Individual object at 0x351ea8bb0>	22	7	47	24
76	<Individual.Individual object at 0x324503700>	21	7	47	25
77	<Individual.Individual object at 0x48e364760>	21	7	47	25
78	<Individual.Individual object at 0x123152df0>	21	7	47	25
79	<Individual.Individual object at 0x349ac0940>	21	7	47	25
80	<Individual.Individual object at 0x3aee264c0>	21	7	47	25
81	<Individual.Individual object at 0x324832070>	21	7	47	25
82	<Individual.Individual object at 0x34b24fbb0>	21	7	47	25
83	<Individual.Individual object at 0x34db42700>	21	7	47	25
84	<Individual.Individual object at 0x34aa59f70>	21	7	47	25
85	<Individual.Individual object at 0x350a72df0>	21	7	47	25
86	<Individual.Individual object at 0x352421940>	21	7	47	25
87	<Individual.Individual object at 0x34b4bb4c0>	21	7	47	25
88	<Individual.Individual object at 0x324c2a070>	22	7	47	24
89	<Individual.Individual object at 0x349cf3bb0>	21	7	47	25
90	<Individual.Individual object at 0x34b155700>	21	7	47	25
91	<Individual.Individual object at 0x350c12f70>	21	7	47	25
92	<Individual.Individual object at 0x351009df0>	21	7	47	25
93	<Individual.Individual object at 0x354230940>	21	7	47	25
94	<Individual.Individual object at 0x536d284c0>	21	7	47	25
95	<Individual.Individual object at 0x536d3e070>	21	7	47	25
96	<Individual.Individual object at 0x3247c3bb0>	21	7	47	25
97	<Individual.Individual object at 0x3510dd700>	21	7	47	25
98	<Individual.Individual object at 0x3510d4f70>	21	7	47	25
99	<Individual.Individual object at 0x34db9bdf0>	21	7	47	25
