	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x349ed5220>	28	9	52	11
1	<Individual.Individual object at 0x34d0e1f70>	35	30	31	4
2	<Individual.Individual object at 0x32023ba30>	15	10	51	24
3	<Individual.Individual object at 0x34bb3bc40>	27	16	45	12
4	<Individual.Individual object at 0x31ebc9d30>	22	5	56	17
5	<Individual.Individual object at 0x3221494c0>	19	16	45	20
6	<Individual.Individual object at 0x349f8a730>	26	5	56	13
7	<Individual.Individual object at 0x320943730>	20	8	53	19
8	<Individual.Individual object at 0x34d2926d0>	37	36	25	2
9	<Individual.Individual object at 0x324c42520>	16	16	45	23
10	<Individual.Individual object at 0x31fb33070>	31	22	39	8
11	<Individual.Individual object at 0x34d542490>	21	17	44	18
12	<Individual.Individual object at 0x320c342b0>	32	9	52	7
13	<Individual.Individual object at 0x34c441b80>	12	11	50	27
14	<Individual.Individual object at 0x323a9efa0>	20	22	39	19
15	<Individual.Individual object at 0x3218dcfa0>	26	15	46	13
16	<Individual.Individual object at 0x320e79ca0>	29	10	51	10
17	<Individual.Individual object at 0x31ee5ab20>	27	20	41	12
18	<Individual.Individual object at 0x320f12b20>	39	0	61	0
19	<Individual.Individual object at 0x323fb84c0>	32	12	49	7
20	<Individual.Individual object at 0x321e75070>	12	9	52	27
21	<Individual.Individual object at 0x322088bb0>	24	10	51	15
22	<Individual.Individual object at 0x34d28b700>	22	9	52	17
23	<Individual.Individual object at 0x34d2adf70>	14	15	46	25
24	<Individual.Individual object at 0x31e8eadf0>	28	15	46	11
25	<Individual.Individual object at 0x31e8f0940>	34	2	59	5
26	<Individual.Individual object at 0x349ed14c0>	26	23	38	13
27	<Individual.Individual object at 0x349eb5070>	18	12	49	21
28	<Individual.Individual object at 0x349fbfbb0>	20	17	44	19
29	<Individual.Individual object at 0x324550700>	24	18	43	15
30	<Individual.Individual object at 0x324546f70>	32	25	36	7
31	<Individual.Individual object at 0x32211bdf0>	32	32	29	7
32	<Individual.Individual object at 0x3220ff940>	14	12	49	25
33	<Individual.Individual object at 0x320e1b4c0>	36	31	30	3
34	<Individual.Individual object at 0x32189b070>	31	19	42	8
35	<Individual.Individual object at 0x34d0f3bb0>	22	15	46	17
36	<Individual.Individual object at 0x34d0fd700>	23	6	55	16
37	<Individual.Individual object at 0x320231f70>	33	18	43	6
38	<Individual.Individual object at 0x31fe2edf0>	28	18	43	11
39	<Individual.Individual object at 0x321b24a60>	22	12	49	17
40	<Individual.Individual object at 0x321b234c0>	36	29	32	3
41	<Individual.Individual object at 0x320567070>	21	18	43	18
42	<Individual.Individual object at 0x321840bb0>	34	0	61	5
43	<Individual.Individual object at 0x321e2f700>	28	9	52	11
44	<Individual.Individual object at 0x321e3af70>	9	6	55	30
45	<Individual.Individual object at 0x34ae96df0>	24	11	50	15
46	<Individual.Individual object at 0x320396940>	29	1	60	10
47	<Individual.Individual object at 0x32039f4c0>	22	17	44	17
48	<Individual.Individual object at 0x321eb8070>	18	11	50	21
49	<Individual.Individual object at 0x321a8cbb0>	25	18	43	14
50	<Individual.Individual object at 0x321a83700>	35	19	42	4
51	<Individual.Individual object at 0x3203e4f70>	28	6	55	11
52	<Individual.Individual object at 0x321a32df0>	24	14	47	15
53	<Individual.Individual object at 0x321a23940>	26	8	53	13
54	<Individual.Individual object at 0x34d7204c0>	30	11	50	9
55	<Individual.Individual object at 0x321ac1070>	18	22	39	21
56	<Individual.Individual object at 0x321ae0bb0>	32	31	30	7
57	<Individual.Individual object at 0x321b51700>	26	20	41	13
58	<Individual.Individual object at 0x321bc5f70>	25	16	45	14
59	<Individual.Individual object at 0x321bb1df0>	29	25	36	10
60	<Individual.Individual object at 0x3218eca60>	22	24	37	17
61	<Individual.Individual object at 0x3224854c0>	36	0	61	3
62	<Individual.Individual object at 0x3224ab070>	23	10	51	16
63	<Individual.Individual object at 0x32261bbb0>	17	8	53	22
64	<Individual.Individual object at 0x3224d5610>	25	8	53	14
65	<Individual.Individual object at 0x3224d8f70>	34	6	55	5
66	<Individual.Individual object at 0x349a7ddf0>	36	0	61	3
67	<Individual.Individual object at 0x349a7f940>	19	9	52	20
68	<Individual.Individual object at 0x322c5f4c0>	25	16	45	14
69	<Individual.Individual object at 0x34c3e2370>	29	4	57	10
70	<Individual.Individual object at 0x34c3f0430>	33	30	31	6
71	<Individual.Individual object at 0x34c45b700>	22	10	51	17
72	<Individual.Individual object at 0x34c463f70>	16	11	50	23
73	<Individual.Individual object at 0x32244bdf0>	24	6	55	15
74	<Individual.Individual object at 0x321a58940>	32	30	31	7
75	<Individual.Individual object at 0x321a6b4c0>	27	25	36	12
76	<Individual.Individual object at 0x3220d7070>	25	24	37	14
77	<Individual.Individual object at 0x31fb94bb0>	22	19	42	17
78	<Individual.Individual object at 0x31fba0700>	25	20	41	14
79	<Individual.Individual object at 0x34ead1f70>	10	13	48	29
80	<Individual.Individual object at 0x34eae2df0>	28	17	44	11
81	<Individual.Individual object at 0x3245f3a60>	28	8	53	11
82	<Individual.Individual object at 0x3240844c0>	20	6	55	19
83	<Individual.Individual object at 0x3240b9070>	24	23	38	15
84	<Individual.Individual object at 0x3222a5bb0>	25	21	40	14
85	<Individual.Individual object at 0x3222acb20>	28	12	49	11
86	<Individual.Individual object at 0x321c1cf70>	22	20	41	17
87	<Individual.Individual object at 0x321c0fa30>	27	10	51	12
88	<Individual.Individual object at 0x323a4f5b0>	21	17	44	18
89	<Individual.Individual object at 0x321c01c40>	22	15	46	17
90	<Individual.Individual object at 0x323902700>	32	1	60	7
91	<Individual.Individual object at 0x34c47ba90>	31	31	30	8
92	<Individual.Individual object at 0x3202926a0>	25	12	49	14
93	<Individual.Individual object at 0x34d7c6460>	30	25	36	9
94	<Individual.Individual object at 0x34d0c58e0>	21	17	44	18
95	<Individual.Individual object at 0x3231463a0>	25	15	46	14
96	<Individual.Individual object at 0x320a20670>	18	9	52	21
97	<Individual.Individual object at 0x320a253a0>	31	30	31	8
98	<Individual.Individual object at 0x3205eadc0>	35	11	50	4
99	<Individual.Individual object at 0x3205ffdf0>	39	6	55	0
