	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x31b80cb80>	30	9	48	13
1	<Individual.Individual object at 0x319926550>	20	14	43	23
2	<Individual.Individual object at 0x32035dc40>	35	26	31	8
3	<Individual.Individual object at 0x30fc02eb0>	14	4	53	29
4	<Individual.Individual object at 0x31eb3ab50>	23	10	47	20
5	<Individual.Individual object at 0x31e73cb80>	37	22	35	6
6	<Individual.Individual object at 0x3203a96d0>	16	5	52	27
7	<Individual.Individual object at 0x320383f40>	39	28	29	4
8	<Individual.Individual object at 0x3203adbe0>	26	10	47	17
9	<Individual.Individual object at 0x30ff7d910>	17	7	50	26
10	<Individual.Individual object at 0x30ff53490>	11	6	51	32
11	<Individual.Individual object at 0x31efb2040>	16	10	47	27
12	<Individual.Individual object at 0x31efbbb80>	15	11	46	28
13	<Individual.Individual object at 0x31fd136d0>	36	17	40	7
14	<Individual.Individual object at 0x31fd3bf40>	16	10	47	27
15	<Individual.Individual object at 0x3209a2dc0>	13	1	56	30
16	<Individual.Individual object at 0x32098f910>	38	28	29	5
17	<Individual.Individual object at 0x318c126d0>	22	3	54	21
18	<Individual.Individual object at 0x318c24040>	28	10	47	15
19	<Individual.Individual object at 0x318e54b80>	31	23	34	12
20	<Individual.Individual object at 0x318e5d6d0>	38	19	38	5
21	<Individual.Individual object at 0x320cc9f40>	17	14	43	26
22	<Individual.Individual object at 0x320cdcdc0>	19	10	47	24
23	<Individual.Individual object at 0x320c98310>	14	8	49	29
24	<Individual.Individual object at 0x320c9b490>	36	2	55	7
25	<Individual.Individual object at 0x318a04f10>	32	15	42	11
26	<Individual.Individual object at 0x318a33b80>	25	16	41	18
27	<Individual.Individual object at 0x3205c56d0>	21	9	48	22
28	<Individual.Individual object at 0x3205f6f40>	36	17	40	7
29	<Individual.Individual object at 0x320e21dc0>	17	8	49	26
30	<Individual.Individual object at 0x320e03910>	27	20	37	16
31	<Individual.Individual object at 0x3207e3490>	37	16	41	6
32	<Individual.Individual object at 0x3207f7040>	15	6	51	28
33	<Individual.Individual object at 0x30fd20b80>	21	14	43	22
34	<Individual.Individual object at 0x31ed6f6d0>	35	31	26	8
35	<Individual.Individual object at 0x31ed4df40>	33	23	34	10
36	<Individual.Individual object at 0x318abcdc0>	22	25	32	21
37	<Individual.Individual object at 0x318a84910>	26	2	55	17
38	<Individual.Individual object at 0x31e879490>	26	20	37	17
39	<Individual.Individual object at 0x31e873040>	41	26	31	2
40	<Individual.Individual object at 0x320a1eb80>	40	22	35	3
41	<Individual.Individual object at 0x31e2716d0>	28	15	42	15
42	<Individual.Individual object at 0x31e261f40>	28	8	49	15
43	<Individual.Individual object at 0x320975dc0>	19	12	45	24
