	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x34aea5f10>	22	12	47	19
1	<Individual.Individual object at 0x34d1ff670>	18	9	50	23
2	<Individual.Individual object at 0x349a3cdf0>	29	5	54	12
3	<Individual.Individual object at 0x324be6bb0>	26	12	47	15
4	<Individual.Individual object at 0x34a25bdf0>	24	2	57	17
5	<Individual.Individual object at 0x324b7ec40>	32	11	48	9
6	<Individual.Individual object at 0x322d0c100>	17	20	39	24
7	<Individual.Individual object at 0x32453fc40>	14	10	49	27
8	<Individual.Individual object at 0x3587c97c0>	17	11	48	24
9	<Individual.Individual object at 0x352fea3d0>	20	6	53	21
10	<Individual.Individual object at 0x324cba940>	24	2	57	17
11	<Individual.Individual object at 0x34a95fb50>	27	15	44	14
12	<Individual.Individual object at 0x36fab4220>	19	14	45	22
13	<Individual.Individual object at 0x34d151fd0>	16	18	41	25
14	<Individual.Individual object at 0x34f3b0a60>	26	3	56	15
15	<Individual.Individual object at 0x34a693c70>	14	15	44	27
16	<Individual.Individual object at 0x349a9df70>	22	10	49	19
17	<Individual.Individual object at 0x350d2b6d0>	20	4	55	21
18	<Individual.Individual object at 0x34a48e1f0>	29	17	42	12
19	<Individual.Individual object at 0x34ec61dc0>	39	7	52	2
20	<Individual.Individual object at 0x349f06bb0>	25	7	52	16
21	<Individual.Individual object at 0x34c6e13d0>	32	12	47	9
22	<Individual.Individual object at 0x324ca45b0>	27	13	46	14
23	<Individual.Individual object at 0x324c8fe20>	22	6	53	19
24	<Individual.Individual object at 0x34c1c7ca0>	25	7	52	16
25	<Individual.Individual object at 0x32450e7f0>	19	11	48	22
26	<Individual.Individual object at 0x324529370>	30	23	36	11
27	<Individual.Individual object at 0x34a74eee0>	27	16	43	14
28	<Individual.Individual object at 0x34a771a30>	24	2	57	17
29	<Individual.Individual object at 0x34d17a5b0>	36	8	51	5
30	<Individual.Individual object at 0x34d177e20>	18	13	46	23
31	<Individual.Individual object at 0x352fdcca0>	20	14	45	21
32	<Individual.Individual object at 0x34a8357f0>	24	2	57	17
33	<Individual.Individual object at 0x34a846370>	28	14	45	13
34	<Individual.Individual object at 0x352af9ee0>	24	19	40	17
35	<Individual.Individual object at 0x352aeaa30>	26	18	41	15
36	<Individual.Individual object at 0x34c6a25b0>	31	13	46	10
37	<Individual.Individual object at 0x34c6bce20>	15	17	42	26
38	<Individual.Individual object at 0x34a270ca0>	24	7	52	17
39	<Individual.Individual object at 0x34a2437f0>	29	5	54	12
40	<Individual.Individual object at 0x34ad67370>	21	5	54	20
41	<Individual.Individual object at 0x3587e0ee0>	31	12	47	10
42	<Individual.Individual object at 0x34a906bb0>	26	17	42	15
43	<Individual.Individual object at 0x34a92d5b0>	28	14	45	13
44	<Individual.Individual object at 0x34ae50e20>	27	15	44	14
45	<Individual.Individual object at 0x349fb5ca0>	36	6	53	5
46	<Individual.Individual object at 0x322faa340>	13	15	44	28
47	<Individual.Individual object at 0x34aeefa90>	20	14	45	21
48	<Individual.Individual object at 0x34aeedee0>	20	7	52	21
49	<Individual.Individual object at 0x351fe3a30>	40	5	54	1
50	<Individual.Individual object at 0x34a6ac5b0>	31	10	49	10
51	<Individual.Individual object at 0x34a680e20>	40	5	54	1
52	<Individual.Individual object at 0x34a8a6ca0>	26	13	46	15
53	<Individual.Individual object at 0x34a8587f0>	36	11	48	5
