	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	5,0	0,7827758164320499	6,0	0,9374799919123775	0,07026056634130251	1,0	1,0	0,0	0,0
1	3,0	0,2453249363584017	5,0	0,5402246654134105	0,9073343698270236	0,0	1,0	1,0	1,0
2	3,0	0,9865444605713034	6,0	0,18747356228510548	0,6050434569540213	0,0	1,0	1,0	1,0
3	5,0	0,7320746905257092	1,0	0,3462819537506502	0,565934411858117	0,0	1,0	1,0	1,0
4	5,0	0,4687433028534941	1,0	0,19632003215816418	0,6264669529203113	0,0	1,1912978581903364	1,0	1,0
5	4,0	0,952383246636556	3,0	0,3016091466753741	0,6161098738153863	0,0	1,0	1,0	1,0
6	6,0	0,7176896105763386	6,0	0,9254491066219965	0,3993874025693981	0,402133047580719	0,0	0,0	1,0
7	6,0	0,6656749326489825	6,0	0,7110402430374124	0,8591317853647944	0,0	0,9108920417370198	1,0	1,0
8	1,0	0,36499098400796426	6,0	0,5334156371211862	0,2602962726575415	0,9040884375572205	0,7112113727051966	0,0	0,0
9	1,0	0,16694192585927292	2,0	0,047596803216071404	0,8346779879108093	0,0	1,0	1,0	1,0
10	5,0	0,08717578857072705	2,0	0,7766154455955114	0,848125359137614	0,0	1,1959944669232652	1,0	1,0
11	3,0	0,7717995524778907	1,0	0,5725721855747165	0,9990170154962819	0,0	1,25	1,0	1,0
12	3,0	0,25003879501584214	3,0	0,572411218919104	0,9287726559356632	0,0	0,9480179845789575	1,0	1,0
13	6,0	0,215667163505614	2,0	0,3949747850472046	0,9724341421852338	0,0	1,2438017080733852	1,0	1,0
14	2,0	0,60259283790902	6,0	0,6167379889907283	0,8241557123349228	0,0	1,25	1,0	1,0
15	4,0	0,07302184351951946	3,0	0,8457822080255311	0,4591367661781123	1,0	1,0	0,0	0,0
16	5,0	0,4964476708461122	5,0	0,5452322643792465	0,9853298224351547	0,0	1,241453415137561	1,0	1,0
17	4,0	0,9381501092036436	6,0	0,7153792884809461	0,6485141915112239	0,0	1,25	1,0	1,0
18	4,0	0,6095470558458802	3,0	0,3968366140322711	0,5619157235786035	0,0	1,25	1,0	1,0
19	2,0	0,002780262091469976	1,0	0,09026726692808185	0,5863339630606113	0,0	0,9796252574331109	1,0	1,0
20	5,0	0,2101364585337253	6,0	0,7146899905302654	0,3532551518686934	0,7063804864883423	1,0	0,0	0,0
21	1,0	0,9873496168937858	4,0	0,4169040040718298	0,9517072351994008	0,0	1,1562659183959898	1,0	1,0
22	1,0	0,2183811934516593	6,0	0,7138383005921305	0,618804397811402	0,8089104294776917	0,75	0,0	0,0
