	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	KnobLevel_pred	Fitness	convieneSvolta	predAction
0	1,0	0,5326143375561352	1,0	0,5044067687278434	0,2	0,9333245247678376	0,7132047414779663	0,10000000000000009	0,0	0,0
1	1,0	0,29017209932356003	1,0	0,3918934031274609	0,2	0,261809560085574	0,9474912881851196	0,10000000000000009	0,0	0,0
2	1,0	0,5347627639187649	1,0	0,4133656603790792	0,2	0,22215808740537069	0,9877930283546448	1,1102230246251565e-16	0,0	0,0
3	1,0	0,12335561226706038	1,0	0,08046234225753057	0,2	0,11961762339154958	0,9561570286750793	0,10000000000000009	0,0	0,0
4	1,0	0,12889996300836992	1,0	0,4641473612668987	0,2	0,6939893649604425	0,8711336255073547	0,10000000000000009	0,0	0,0
5	1,0	0,6326884234367008	1,0	0,029645796982065153	0,2	0,5282089539280398	0,9925146102905273	1,1102230246251565e-16	0,0	0,0
6	1,0	0,2926957468793002	1,0	0,5236276619558581	0,2	0,0687387690221436	0,6484318971633911	0,10000000000000009	0,0	0,0
7	1,0	0,6864336256889122	1,0	0,023457873312052735	0,2	0,716048667292362	0,8930394649505615	1,1102230246251565e-16	0,0	0,0
8	1,0	0,8819230027465265	1,0	0,8845020543972409	0,2	0,7481247036154163	0,9811159372329712	0,10000000000000009	0,0	0,0
9	1,0	0,8848861643083343	1,0	0,7327913049429055	0,2	0,21949489411044654	0,6481924057006836	1,1102230246251565e-16	0,0	0,0
10	1,0	0,1387059195320327	1,0	0,3101316450597098	0,2	0,20365877553098555	0,949917197227478	0,10000000000000009	0,0	0,0
11	1,0	0,7521049382160556	1,0	0,08415142478607829	0,2	0,40565942489913476	0,7356066703796387	1,1102230246251565e-16	0,0	0,0
12	1,0	0,6395771102019926	1,0	0,8598012532751542	0,2	0,10169406303925144	0,9248363971710205	0,10000000000000009	0,0	0,0
13	1,0	0,6804616914010444	1,0	0,5867789958402185	0,2	0,8898982880271818	0,9043138027191162	1,1102230246251565e-16	0,0	0,0
14	1,0	0,6965003559464115	1,0	0,12848934536080703	0,2	0,4754624694834878	0,7205637693405151	1,1102230246251565e-16	0,0	0,0
15	1,0	0,017662450820961628	1,0	0,20510331240359192	0,2	0,6372537385757772	0,9985528588294983	0,10000000000000009	0,0	0,0
16	1,0	0,647956651456595	1,0	0,6519972805685502	0,2	0,5409629938473631	0,5182360410690308	0,10000000000000009	0,0	0,0
17	1,0	0,45897037179067635	1,0	0,66844314399747	0,2	0,5288593155004109	0,9129148721694946	0,10000000000000009	0,0	0,0
18	1,0	0,44443486094556317	1,0	0,23310272649701957	0,2	0,6826058219011879	0,7369798421859741	1,1102230246251565e-16	0,0	0,0
19	1,0	0,9147811946630675	1,0	0,2264837373774995	0,2	0,5340590333497944	0,9027522206306458	1,1102230246251565e-16	0,0	0,0
20	1,0	0,3381883312362647	1,0	0,6201081318539569	0,2	0,33820703839975186	0,8647525906562805	0,10000000000000009	0,0	0,0
21	1,0	0,5361312900302347	1,0	0,7821862696385041	0,2	0,9702071568898285	0,028907034546136856	-0,6000000000000001	0,0	1,0
22	1,0	0,5895159384395993	1,0	0,4459920210014343	0,2	0,9362113032505192	0,8974484205245972	1,1102230246251565e-16	0,0	0,0
23	1,0	0,37736259679606765	1,0	0,13034352634939195	0,2	0,7572534798707105	0,930996298789978	0,10000000000000009	0,0	0,0
