	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	KnobLevel_pred	Fitness	convieneSvolta	predAction
0	1,0	0,17427908858221497	1,0	0,6706860912436957	0,2	0,6424862737659685	0,9808394312858582	0,10000000000000009	0,0	0,0
1	1,0	0,17464813993988537	1,0	0,3004824179715251	0,2	0,6166596579421171	0,9701500535011292	0,10000000000000009	0,0	0,0
2	1,0	0,6255888696648976	1,0	0,11060270095159408	0,2	0,7462574763621932	0,98015296459198	0,10000000000000009	0,0	0,0
3	1,0	0,6971036479767143	1,0	0,6329893012414506	0,2	0,515461324430574	0,9417088627815247	1,1102230246251565e-16	0,0	0,0
4	1,0	0,06595488098646674	1,0	0,008409012044305775	0,2	0,9807345368115886	0,9994452595710754	0,10000000000000009	0,0	0,0
5	1,0	0,4104638507803263	1,0	0,7444287743042233	0,2	0,5774271117897883	0,9859971404075623	0,10000000000000009	0,0	0,0
6	1,0	0,15845902547441781	1,0	0,48102337889659885	0,2	0,7435429705434813	0,9962642788887024	0,10000000000000009	0,0	0,0
7	1,0	0,6404081717545711	1,0	0,831027036755781	0,2	0,6091570087639719	0,9973888397216797	0,10000000000000009	0,0	0,0
8	1,0	0,3717677692767155	1,0	0,05583306896713813	0,2	0,43147839695143764	0,9727871417999268	0,10000000000000009	0,0	0,0
9	1,0	0,02337727971146142	1,0	0,2982144363623903	0,2	0,24654464863272663	0,8366677761077881	0,10000000000000009	0,0	0,0
10	1,0	0,08491625430852434	1,0	0,9347869084108826	0,2	0,9883637116394653	0,9996230006217957	0,10000000000000009	0,0	0,0
11	1,0	0,5685833666937775	1,0	0,7337963958054922	0,2	0,17080014933100263	0,7012890577316284	0,10000000000000009	0,0	0,0
12	1,0	0,6950562689484336	1,0	0,38963317601254743	0,2	0,26459059388959616	0,8693549036979675	1,1102230246251565e-16	0,0	0,0
13	1,0	0,480714687601117	1,0	0,6758881258815066	0,2	0,31822972084696477	0,8528468012809753	0,10000000000000009	0,0	0,0
14	1,0	0,9036486139441511	1,0	0,011971406666584583	0,2	0,27172789245512263	0,8862414360046387	1,1102230246251565e-16	0,0	0,0
15	1,0	0,9094238490217502	1,0	0,3351725359880351	0,2	0,5669309569621384	0,9996639490127563	1,1102230246251565e-16	0,0	0,0
16	1,0	0,5040387018513499	1,0	0,36351961912548336	0,2	0,20763620675571426	0,6812359690666199	1,1102230246251565e-16	0,0	0,0
17	1,0	0,4902071308006063	1,0	0,9587283573111259	0,2	0,2337137325676184	0,9704329371452332	0,10000000000000009	0,0	0,0
18	1,0	0,4687920320952398	1,0	0,9781897906573749	0,2	0,9767878181933056	0,9893394708633423	0,10000000000000009	0,0	0,0
19	1,0	0,17423601767270824	1,0	0,28800830000024613	0,2	0,1065602427481861	0,9843904376029968	0,10000000000000009	0,0	0,0
