	individual	fp	fn	tp	tn
0	<__main__.Individual object at 0x32197db20>	10	0	0	90
1	<__main__.Individual object at 0x31dfe3a60>	48	0	0	52
2	<__main__.Individual object at 0x31d4fca60>	20	0	0	80
3	<__main__.Individual object at 0x31ff45100>	4	0	0	96
4	<__main__.Individual object at 0x31de509a0>	12	0	0	88
5	<__main__.Individual object at 0x31d79a580>	23	0	0	77
6	<__main__.Individual object at 0x31caacc40>	2	0	0	98
7	<__main__.Individual object at 0x16f569f70>	1	0	0	99
8	<__main__.Individual object at 0x31e813070>	3	0	0	97
9	<__main__.Individual object at 0x31ce37df0>	1	0	0	99
10	<__main__.Individual object at 0x31ccdaa00>	2	0	0	98
11	<__main__.Individual object at 0x31fcb8820>	15	0	0	85
12	<__main__.Individual object at 0x31dde38e0>	2	0	0	98
13	<__main__.Individual object at 0x31f41c2e0>	4	0	0	96
14	<__main__.Individual object at 0x31f4d4070>	0	0	0	100
15	<__main__.Individual object at 0x31cffe700>	4	0	0	96
16	<__main__.Individual object at 0x32062c4c0>	2	0	0	98
17	<__main__.Individual object at 0x322625be0>	5	0	0	95
18	<__main__.Individual object at 0x3535b1d30>	0	0	0	100
19	<__main__.Individual object at 0x352eac280>	53	0	0	47
20	<__main__.Individual object at 0x31ea4f550>	7	0	0	93
21	<__main__.Individual object at 0x31c915070>	14	0	0	86
22	<__main__.Individual object at 0x323d06f40>	46	0	0	54
23	<__main__.Individual object at 0x323db8d90>	4	0	0	96
24	<__main__.Individual object at 0x34c0c2fa0>	4	0	0	96
25	<__main__.Individual object at 0x352e998e0>	15	0	0	85
26	<__main__.Individual object at 0x34d5ba640>	5	0	0	95
27	<__main__.Individual object at 0x31ca88f10>	49	0	0	51
28	<__main__.Individual object at 0x323aeaeb0>	9	0	0	91
29	<__main__.Individual object at 0x31d9602e0>	1	0	0	99
30	<__main__.Individual object at 0x31ddf89a0>	2	0	0	98
31	<__main__.Individual object at 0x352e8d9d0>	8	0	0	92
32	<__main__.Individual object at 0x31c3e6640>	25	0	0	75
33	<__main__.Individual object at 0x3227adb20>	42	0	0	58
34	<__main__.Individual object at 0x31e851a90>	15	0	0	85
35	<__main__.Individual object at 0x31e87e700>	9	0	0	91
36	<__main__.Individual object at 0x31c3d1100>	2	0	0	98
37	<__main__.Individual object at 0x31c776940>	0	0	0	100
38	<__main__.Individual object at 0x32263e640>	1	0	0	99
39	<__main__.Individual object at 0x3249c99d0>	12	0	0	88
40	<__main__.Individual object at 0x368aa4340>	0	0	0	100
41	<__main__.Individual object at 0x31f967f70>	1	0	0	99
42	<__main__.Individual object at 0x34c3b80d0>	5	0	0	95
43	<__main__.Individual object at 0x31f722550>	0	0	0	100
44	<__main__.Individual object at 0x31dd95f40>	0	0	0	100
45	<__main__.Individual object at 0x34c0047c0>	4	0	0	96
46	<__main__.Individual object at 0x32190a430>	10	0	0	90
47	<__main__.Individual object at 0x31c904400>	0	0	0	100
48	<__main__.Individual object at 0x3249053d0>	2	0	0	98
49	<__main__.Individual object at 0x3201f2610>	9	0	0	91
50	<__main__.Individual object at 0x31c97d070>	2	0	0	98
51	<__main__.Individual object at 0x31eaade80>	0	0	0	100
52	<__main__.Individual object at 0x31eb08a00>	4	0	0	96
53	<__main__.Individual object at 0x3207a15e0>	52	0	0	48
54	<__main__.Individual object at 0x34a4bab80>	9	0	0	91
55	<__main__.Individual object at 0x31dd52b20>	2	0	0	98
56	<__main__.Individual object at 0x34ad31640>	5	0	0	95
57	<__main__.Individual object at 0x368aaff10>	1	0	0	99
58	<__main__.Individual object at 0x34c0b7ca0>	5	0	0	95
59	<__main__.Individual object at 0x16f521820>	0	0	0	100
60	<__main__.Individual object at 0x3237343d0>	0	0	0	100
61	<__main__.Individual object at 0x34a86bf70>	7	0	0	93
62	<__main__.Individual object at 0x34afffb20>	8	0	0	92
63	<__main__.Individual object at 0x31ccfaee0>	1	0	0	99
64	<__main__.Individual object at 0x31d737f40>	8	0	0	92
65	<__main__.Individual object at 0x31d1ebdf0>	55	0	0	45
66	<__main__.Individual object at 0x31f4ce970>	19	0	0	81
67	<__main__.Individual object at 0x31df58520>	0	0	0	100
68	<__main__.Individual object at 0x31d92cdc0>	12	0	0	88
69	<__main__.Individual object at 0x34ce42c70>	1	0	0	99
70	<__main__.Individual object at 0x323641af0>	17	0	0	83
71	<__main__.Individual object at 0x16f5a93a0>	13	0	0	87
72	<__main__.Individual object at 0x16f5acf40>	1	0	0	99
73	<__main__.Individual object at 0x34c06baf0>	0	0	0	100
74	<__main__.Individual object at 0x322154eb0>	98	0	0	2
75	<__main__.Individual object at 0x31e801f10>	0	0	0	100
76	<__main__.Individual object at 0x31c934dc0>	40	0	0	60
77	<__main__.Individual object at 0x31ecb6940>	2	0	0	98
78	<__main__.Individual object at 0x3221fe4f0>	50	0	0	50
79	<__main__.Individual object at 0x31f462d90>	2	0	0	98
80	<__main__.Individual object at 0x31eabfc40>	11	0	0	89
81	<__main__.Individual object at 0x3206417c0>	46	0	0	54
82	<__main__.Individual object at 0x31dd8c370>	2	0	0	98
83	<__main__.Individual object at 0x3236edf10>	5	0	0	95
84	<__main__.Individual object at 0x34cec2ac0>	10	0	0	90
85	<__main__.Individual object at 0x34af97e80>	0	0	0	100
86	<__main__.Individual object at 0x34afa69d0>	0	0	0	100
87	<__main__.Individual object at 0x34afddb80>	0	0	0	100
88	<__main__.Individual object at 0x34c39a0d0>	0	0	0	100
89	<__main__.Individual object at 0x34c3cfbe0>	21	0	0	79
90	<__main__.Individual object at 0x31cf5e8b0>	9	0	0	91
91	<__main__.Individual object at 0x31cec8af0>	0	0	0	100
92	<__main__.Individual object at 0x32014a640>	23	0	0	77
93	<__main__.Individual object at 0x34ce92e20>	5	0	0	95
94	<__main__.Individual object at 0x32493a1c0>	15	0	0	85
95	<__main__.Individual object at 0x31d717e50>	0	0	0	100
96	<__main__.Individual object at 0x31e9dcbe0>	1	0	0	99
97	<__main__.Individual object at 0x31d4d3d90>	1	0	0	99
98	<__main__.Individual object at 0x3226483d0>	4	0	0	96
99	<__main__.Individual object at 0x34a862d30>	5	0	0	95
