	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x35143ed60>	19	7	45	29
1	<Individual.Individual object at 0x3504bf280>	26	5	47	22
2	<Individual.Individual object at 0x323e5bd90>	26	5	47	22
3	<Individual.Individual object at 0x323fb46a0>	26	5	47	22
4	<Individual.Individual object at 0x34b351760>	16	4	48	32
5	<Individual.Individual object at 0x34b350fd0>	19	7	45	29
6	<Individual.Individual object at 0x34da777f0>	20	7	45	28
7	<Individual.Individual object at 0x34da4ef70>	19	7	45	29
8	<Individual.Individual object at 0x34da4caf0>	26	5	47	22
9	<Individual.Individual object at 0x34ab11640>	16	4	48	32
10	<Individual.Individual object at 0x34ab30dc0>	26	5	47	22
11	<Individual.Individual object at 0x34ab39d30>	26	5	47	22
12	<Individual.Individual object at 0x349d44880>	26	5	47	22
13	<Individual.Individual object at 0x349d67400>	26	5	47	22
14	<Individual.Individual object at 0x324b56f70>	17	7	45	31
15	<Individual.Individual object at 0x324b5caf0>	26	5	47	22
16	<Individual.Individual object at 0x34f9c8970>	26	5	47	22
17	<Individual.Individual object at 0x34f9c2eb0>	19	7	45	29
18	<Individual.Individual object at 0x349bfad30>	26	5	47	22
19	<Individual.Individual object at 0x349bb1880>	26	5	47	22
20	<Individual.Individual object at 0x349b96400>	19	7	45	29
21	<Individual.Individual object at 0x34df51f70>	20	7	45	28
22	<Individual.Individual object at 0x34df78af0>	26	5	47	22
23	<Individual.Individual object at 0x34dc96640>	26	5	47	22
24	<Individual.Individual object at 0x34dc80eb0>	16	4	48	32
25	<Individual.Individual object at 0x323008d30>	20	7	45	28
26	<Individual.Individual object at 0x324835880>	26	5	47	22
27	<Individual.Individual object at 0x324803400>	20	7	45	28
28	<Individual.Individual object at 0x34daf8f70>	19	7	45	29
29	<Individual.Individual object at 0x34dae7af0>	26	5	47	22
30	<Individual.Individual object at 0x349f3f760>	20	7	45	28
31	<Individual.Individual object at 0x349f32eb0>	26	5	47	22
32	<Individual.Individual object at 0x34fd76d30>	20	7	45	28
33	<Individual.Individual object at 0x34fd9c880>	26	5	47	22
34	<Individual.Individual object at 0x3238aa400>	20	7	45	28
35	<Individual.Individual object at 0x3238b4f70>	26	5	47	22
36	<Individual.Individual object at 0x3538a3af0>	26	5	47	22
37	<Individual.Individual object at 0x34c820640>	20	7	45	28
38	<Individual.Individual object at 0x34c826eb0>	19	7	45	29
39	<Individual.Individual object at 0x34c845d30>	16	4	48	32
40	<Individual.Individual object at 0x34c843880>	17	7	45	31
41	<Individual.Individual object at 0x349deb400>	26	5	47	22
42	<Individual.Individual object at 0x349deff70>	26	5	47	22
43	<Individual.Individual object at 0x352579af0>	20	7	45	28
44	<Individual.Individual object at 0x352127640>	19	7	45	29
45	<Individual.Individual object at 0x352133eb0>	20	7	45	28
46	<Individual.Individual object at 0x323eced30>	26	5	47	22
47	<Individual.Individual object at 0x323ede880>	26	5	47	22
48	<Individual.Individual object at 0x3502b9400>	20	7	45	28
49	<Individual.Individual object at 0x349d0bf70>	20	7	45	28
50	<Individual.Individual object at 0x349d09af0>	20	7	45	28
51	<Individual.Individual object at 0x322de6640>	26	5	47	22
52	<Individual.Individual object at 0x322dc7eb0>	20	7	45	28
53	<Individual.Individual object at 0x351666d30>	16	4	48	32
54	<Individual.Individual object at 0x34cb49880>	19	7	45	29
55	<Individual.Individual object at 0x34cb62400>	20	7	45	28
56	<Individual.Individual object at 0x35027ef70>	19	7	45	29
57	<Individual.Individual object at 0x35027aaf0>	26	5	47	22
58	<Individual.Individual object at 0x3238d1640>	19	7	45	29
59	<Individual.Individual object at 0x3238f2eb0>	19	7	45	29
60	<Individual.Individual object at 0x34dfee790>	26	5	47	22
61	<Individual.Individual object at 0x3526162b0>	26	5	47	22
62	<Individual.Individual object at 0x35263f400>	26	5	47	22
63	<Individual.Individual object at 0x34fe80f70>	20	7	45	28
64	<Individual.Individual object at 0x34fe89af0>	20	7	45	28
65	<Individual.Individual object at 0x350e77640>	20	7	45	28
66	<Individual.Individual object at 0x350e4deb0>	26	5	47	22
67	<Individual.Individual object at 0x34cbd4d30>	26	5	47	22
68	<Individual.Individual object at 0x34c90f880>	16	4	48	32
69	<Individual.Individual object at 0x34c90a400>	19	7	45	29
70	<Individual.Individual object at 0x353aa4f70>	20	7	45	28
71	<Individual.Individual object at 0x353a82af0>	20	7	45	28
72	<Individual.Individual object at 0x350c5c640>	20	7	45	28
73	<Individual.Individual object at 0x350c73eb0>	26	5	47	22
74	<Individual.Individual object at 0x34a1ecd30>	19	7	45	29
75	<Individual.Individual object at 0x3531d2820>	20	7	45	28
76	<Individual.Individual object at 0x3531d1400>	26	5	47	22
77	<Individual.Individual object at 0x35258cf70>	19	7	45	29
78	<Individual.Individual object at 0x3525b1af0>	26	7	45	22
79	<Individual.Individual object at 0x35207e640>	26	5	47	22
80	<Individual.Individual object at 0x34a144eb0>	26	5	47	22
81	<Individual.Individual object at 0x34a143d30>	20	7	45	28
82	<Individual.Individual object at 0x34de05880>	20	7	45	28
83	<Individual.Individual object at 0x34de2f670>	19	7	45	29
84	<Individual.Individual object at 0x34fde7f70>	20	7	45	28
85	<Individual.Individual object at 0x352819af0>	26	5	47	22
86	<Individual.Individual object at 0x352835640>	20	7	45	28
87	<Individual.Individual object at 0x352351eb0>	26	5	47	22
88	<Individual.Individual object at 0x35236bd30>	19	7	45	29
89	<Individual.Individual object at 0x322a22880>	20	7	45	28
90	<Individual.Individual object at 0x322a06400>	26	5	47	22
91	<Individual.Individual object at 0x35043bf70>	26	5	47	22
92	<Individual.Individual object at 0x349f51af0>	17	4	48	31
93	<Individual.Individual object at 0x349f64640>	19	7	45	29
94	<Individual.Individual object at 0x3528b3eb0>	20	7	45	28
95	<Individual.Individual object at 0x35289cd30>	20	7	45	28
96	<Individual.Individual object at 0x34cfe0880>	19	7	45	29
97	<Individual.Individual object at 0x34fc8fd60>	19	7	45	29
98	<Individual.Individual object at 0x34a636370>	16	4	48	32
99	<Individual.Individual object at 0x34bcaa2e0>	26	5	47	22
