	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x34a5f6af0>	58	0	0	42
1	<Individual.Individual object at 0x34a57cd60>	66	0	0	34
2	<Individual.Individual object at 0x320501640>	52	0	0	48
3	<Individual.Individual object at 0x31f98af10>	69	0	0	31
4	<Individual.Individual object at 0x34ca1dcd0>	67	0	0	33
5	<Individual.Individual object at 0x34a63a580>	61	0	0	39
6	<Individual.Individual object at 0x31fee4cd0>	58	0	0	42
7	<Individual.Individual object at 0x31fedbc70>	71	0	0	29
8	<Individual.Individual object at 0x31fec37c0>	63	0	0	37
9	<Individual.Individual object at 0x31ff27340>	70	0	0	30
10	<Individual.Individual object at 0x31ff35eb0>	81	0	0	19
11	<Individual.Individual object at 0x34dcbc340>	67	0	0	33
12	<Individual.Individual object at 0x34dc8e580>	74	0	0	26
13	<Individual.Individual object at 0x34af2cdf0>	68	0	0	32
14	<Individual.Individual object at 0x34af14c70>	56	0	0	44
15	<Individual.Individual object at 0x34bfa17c0>	65	0	0	35
16	<Individual.Individual object at 0x34bf91340>	66	0	0	34
17	<Individual.Individual object at 0x34bf04eb0>	67	0	0	33
18	<Individual.Individual object at 0x34bf24a00>	65	0	0	35
19	<Individual.Individual object at 0x31fe31580>	59	0	0	41
20	<Individual.Individual object at 0x31fe11df0>	56	0	0	44
21	<Individual.Individual object at 0x31fa04c70>	69	0	0	31
22	<Individual.Individual object at 0x31fa1c7c0>	62	0	0	38
23	<Individual.Individual object at 0x320381340>	67	0	0	33
24	<Individual.Individual object at 0x320383eb0>	72	0	0	28
25	<Individual.Individual object at 0x34c92aa00>	64	0	0	36
26	<Individual.Individual object at 0x32103b580>	56	0	0	44
27	<Individual.Individual object at 0x321015df0>	64	0	0	36
28	<Individual.Individual object at 0x34d770c70>	61	0	0	39
29	<Individual.Individual object at 0x34d748e50>	78	0	0	22
30	<Individual.Individual object at 0x34ac0a340>	89	0	0	11
31	<Individual.Individual object at 0x34ac20eb0>	59	0	0	41
32	<Individual.Individual object at 0x34d8a6a00>	56	0	0	44
