numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
2,0	0,4370558707763541	3,0	0,6156553110059538	0,808628891440635	0,30187220268795634	0,25	1	0
5,0	0,14777074468713647	1,0	0,38562257723120086	0,6873305717187451	0,8532693114735043	0,25	1	0
1,0	0,8290612196109162	6,0	0,31107328478713026	0,45313588326228504	0,8129810309061325	0,25	0	0
4,0	0,8694471679409627	5,0	0,8368705834097471	0,24817540924206716	0,3447448556364392	0,25	0	0
3,0	0,829789437733386	1,0	0,14513837936714957	0,27510274700003823	0,41406021614890554	0,25	1	0
4,0	0,17087373699677677	1,0	0,20465876438244912	0,695792044420549	0,598528935756938	0,25	1	0
6,0	0,7425628093900705	6,0	0,7353235740009522	0,033738545328703906	0,5249105081577129	0,25	0	0
1,0	0,8862545305252242	3,0	0,4317479753535348	0,8527236250540934	0,4461433156689292	0,25	1	0
1,0	0,45221009134001544	5,0	0,8041793094610082	0,7620377468708454	0,4127505945498138	0,25	0	0
6,0	0,34014799454435873	1,0	0,17983141864753505	0,07571214139606286	0,11925141140413331	0,25	1	0
4,0	0,3003355084122562	3,0	0,40478467786304784	0,6515317421783995	0,9961564924553494	0,25	1	0
4,0	0,7361951550184551	3,0	0,06571693498829212	0,9805189329884344	0,03495810408458244	0,25	1	0
3,0	0,7120801440081539	3,0	0,007046539421946552	0,06384060869444474	0,9233871268357039	0,25	0	0
5,0	0,4721851741477564	3,0	0,9842072335297956	0,15996989738976353	0,3357574412479266	0,25	0	0
5,0	0,0572596425310653	5,0	0,7675244970539479	0,32270854234485546	0,9638455928587172	0,25	0	0
1,0	0,35853266657196603	4,0	0,7895142931551598	0,3206918046612358	0,7762531167023566	0,25	0	0
3,0	0,846209496168253	5,0	0,9629572947687405	0,7445227702752727	0,2502638468461936	0,25	1	0
5,0	0,4774208269842882	5,0	0,3600020967077404	0,16792682895995625	0,529814486497929	0,25	0	0
2,0	0,48502964829820683	6,0	0,5005574277930942	0,030160747164347912	0,9362644181561782	0,25	0	0
3,0	0,5718998965713964	2,0	0,7070518120911164	0,4634798227835325	0,28156275880085946	0,25	1	0
