	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x324c107f0>	66	0	0	34
1	<Individual.Individual object at 0x320876c10>	76	0	0	24
2	<Individual.Individual object at 0x3206af1f0>	68	0	0	32
3	<Individual.Individual object at 0x321666190>	71	0	0	29
4	<Individual.Individual object at 0x3215fe250>	62	0	0	38
5	<Individual.Individual object at 0x321df6790>	61	0	0	39
6	<Individual.Individual object at 0x34f756430>	67	0	0	33
7	<Individual.Individual object at 0x34d6bbac0>	63	0	0	37
8	<Individual.Individual object at 0x323e06280>	76	0	0	24
9	<Individual.Individual object at 0x34b479640>	63	0	0	37
10	<Individual.Individual object at 0x321082cd0>	78	0	0	22
11	<Individual.Individual object at 0x322748250>	65	0	0	35
12	<Individual.Individual object at 0x323e332b0>	67	0	0	33
13	<Individual.Individual object at 0x322728b20>	76	0	0	24
14	<Individual.Individual object at 0x3204f4d60>	68	0	0	32
15	<Individual.Individual object at 0x31ee697c0>	75	0	0	25
16	<Individual.Individual object at 0x34dbe88b0>	76	0	0	24
17	<Individual.Individual object at 0x320c985e0>	65	0	0	35
18	<Individual.Individual object at 0x322b49190>	61	0	0	39
19	<Individual.Individual object at 0x3237a1e80>	64	0	0	36
20	<Individual.Individual object at 0x321a9b7c0>	63	0	0	37
21	<Individual.Individual object at 0x16f69f880>	64	0	0	36
22	<Individual.Individual object at 0x34d773370>	81	0	0	19
23	<Individual.Individual object at 0x34de59f40>	67	0	0	33
24	<Individual.Individual object at 0x320408cd0>	84	0	0	16
25	<Individual.Individual object at 0x16f70e820>	68	0	0	32
26	<Individual.Individual object at 0x3204953a0>	64	0	0	36
27	<Individual.Individual object at 0x3204bcf10>	58	0	0	42
28	<Individual.Individual object at 0x324bfda90>	73	0	0	27
29	<Individual.Individual object at 0x324bfbd60>	74	0	0	26
30	<Individual.Individual object at 0x3234d0e50>	58	0	0	42
31	<Individual.Individual object at 0x3234ec490>	67	0	0	33
32	<Individual.Individual object at 0x321a44820>	59	0	0	41
33	<Individual.Individual object at 0x3226683a0>	72	0	0	28
34	<Individual.Individual object at 0x322642f10>	69	0	0	31
35	<Individual.Individual object at 0x320c8fa90>	75	0	0	25
36	<Individual.Individual object at 0x320cbc5e0>	63	0	0	37
37	<Individual.Individual object at 0x320444b50>	63	0	0	37
38	<Individual.Individual object at 0x320461cd0>	66	0	0	34
39	<Individual.Individual object at 0x34db67820>	63	0	0	37
40	<Individual.Individual object at 0x3210a23a0>	71	0	0	29
41	<Individual.Individual object at 0x32061ff10>	73	0	0	27
42	<Individual.Individual object at 0x3206069d0>	59	0	0	41
43	<Individual.Individual object at 0x3219805e0>	61	0	0	39
44	<Individual.Individual object at 0x321fabe50>	76	0	0	24
45	<Individual.Individual object at 0x31f175cd0>	66	0	0	34
46	<Individual.Individual object at 0x34d6a1820>	69	0	0	31
47	<Individual.Individual object at 0x34d6a53a0>	68	0	0	32
48	<Individual.Individual object at 0x321a19f10>	66	0	0	34
49	<Individual.Individual object at 0x3213b1a90>	64	0	0	36
50	<Individual.Individual object at 0x34f7375e0>	67	0	0	33
51	<Individual.Individual object at 0x34f758e50>	75	0	0	25
52	<Individual.Individual object at 0x321afa2b0>	63	0	0	37
53	<Individual.Individual object at 0x36b690820>	74	0	0	26
54	<Individual.Individual object at 0x3219ed3a0>	75	0	0	25
55	<Individual.Individual object at 0x3219faf10>	62	0	0	38
56	<Individual.Individual object at 0x31f44ea90>	76	0	0	24
57	<Individual.Individual object at 0x3226085e0>	71	0	0	29
58	<Individual.Individual object at 0x34b692e50>	64	0	0	36
59	<Individual.Individual object at 0x34b6a7a30>	67	0	0	33
60	<Individual.Individual object at 0x322b7c820>	60	0	0	40
61	<Individual.Individual object at 0x3218a4f70>	66	0	0	34
62	<Individual.Individual object at 0x3218a1f10>	61	0	0	39
63	<Individual.Individual object at 0x321b4ca90>	63	0	0	37
64	<Individual.Individual object at 0x34ca095e0>	64	0	0	36
65	<Individual.Individual object at 0x16f6a1e50>	63	0	0	37
66	<Individual.Individual object at 0x16f6c1cd0>	65	0	0	35
67	<Individual.Individual object at 0x322b30820>	76	0	0	24
68	<Individual.Individual object at 0x3206fe3a0>	85	0	0	15
69	<Individual.Individual object at 0x3206d5f10>	62	0	0	38
70	<Individual.Individual object at 0x32187fa90>	62	0	0	38
71	<Individual.Individual object at 0x32196d5e0>	68	0	0	32
72	<Individual.Individual object at 0x32194ce50>	64	0	0	36
73	<Individual.Individual object at 0x324c25730>	65	0	0	35
74	<Individual.Individual object at 0x321be8820>	62	0	0	38
75	<Individual.Individual object at 0x321be03a0>	63	0	0	37
76	<Individual.Individual object at 0x321366f10>	69	0	0	31
77	<Individual.Individual object at 0x321b8fa90>	86	0	0	14
78	<Individual.Individual object at 0x321ba55e0>	68	0	0	32
79	<Individual.Individual object at 0x34d9d3e50>	69	0	0	31
80	<Individual.Individual object at 0x34d9e1cd0>	72	0	0	28
81	<Individual.Individual object at 0x3217ce820>	64	0	0	36
82	<Individual.Individual object at 0x3238373a0>	64	0	0	36
83	<Individual.Individual object at 0x323812f10>	69	0	0	31
84	<Individual.Individual object at 0x32068db20>	72	0	0	28
85	<Individual.Individual object at 0x320ed52b0>	62	0	0	38
86	<Individual.Individual object at 0x32189e310>	62	0	0	38
87	<Individual.Individual object at 0x322625490>	66	0	0	34
88	<Individual.Individual object at 0x3227164f0>	65	0	0	35
89	<Individual.Individual object at 0x3210852b0>	58	0	0	42
90	<Individual.Individual object at 0x16f6d6ac0>	62	0	0	38
91	<Individual.Individual object at 0x34de426a0>	59	0	0	41
92	<Individual.Individual object at 0x32183dee0>	67	0	0	33
93	<Individual.Individual object at 0x32193ef10>	63	0	0	37
94	<Individual.Individual object at 0x32190fc40>	65	0	0	35
95	<Individual.Individual object at 0x32224c940>	71	0	0	29
96	<Individual.Individual object at 0x322275670>	66	0	0	34
97	<Individual.Individual object at 0x34de853a0>	59	0	0	41
98	<Individual.Individual object at 0x34de8bdc0>	82	0	0	18
99	<Individual.Individual object at 0x34d742df0>	74	0	0	26
